Probabilities,predicted labels,label
0.48231113,Norway,Norway
0.1180387,Slovakia,Poland
0.5563363,United Kingdom,Finland
0.21899296,New Zealand,Montenegro
0.4062881,Ireland,Mexico
0.15616393,Russia,Poland
0.16714402,United Arab Emirates,Palestine
0.40977463,Ireland,Ireland
0.5928235,Australia,Australia
0.17473637,South Africa,Chile
0.14672364,Latvia,United Kingdom
0.54788846,Singapore,Singapore
0.43736476,Russia,Russia
0.15016371,Hungary,Czechia
0.62210333,Ireland,United Kingdom
0.10899933,Eswatini,Brazil
0.22406985,Sweden,France
0.2998025,Slovakia,Croatia
0.21108508,Puerto Rico,United States
0.61183715,Ireland,United Kingdom
0.118265636,Slovakia,Poland
0.1505594,Hungary,Czechia
0.23270515,Costa Rica,Brazil
0.6530689,Finland,Finland
0.4019795,South Africa,Colombia
0.5231772,Japan,Japan
0.86257106,France,France
0.3378602,Canada,United States
0.15536386,New Zealand,United States
0.1627114,Finland,Russia
0.3184462,South Korea,Japan
0.29905754,Mongolia,Peru
0.18050689,Luxembourg,Germany
0.86675364,Ireland,Ireland
0.08059589,Spain,Russia
0.14548181,Sweden,Poland
0.56850076,Puerto Rico,Australia
0.67596686,Australia,Australia
0.12374523,Slovakia,Ukraine
0.15146849,Colombia,Brazil
0.0634383,Hungary,France
0.13208078,South Korea,United States
0.15321177,Latvia,Latvia
0.21565662,South Africa,Mexico
0.1737105,France,France
0.42836818,New Zealand,New Zealand
0.09737556,Portugal,Indonesia
0.42126137,Norway,Norway
0.28590634,Norway,Japan
0.27157187,United Kingdom,Japan
0.7343798,France,France
0.6207239,Luxembourg,France
0.16292596,Russia,Argentina
0.19422239,Philippines,Indonesia
0.17164578,Slovakia,Chile
0.46971226,Ireland,United Kingdom
0.103812255,New Zealand,Australia
0.19129153,Slovakia,Spain
0.08965461,Israel,France
0.4897258,Indonesia,Indonesia
0.6148504,Italy,Italy
0.32603285,Japan,Japan
0.7515139,Finland,Finland
0.3906256,United Kingdom,United Kingdom
0.22155005,Bangladesh,Singapore
0.10539199,Finland,Nigeria
0.10206756,Uruguay,United States
0.44834727,Finland,Finland
0.35598528,Belgium,Poland
0.2610319,France,France
0.13387258,Belgium,Germany
0.18944502,South Africa,Argentina
0.2679722,Slovakia,Italy
0.182616,Russia,Japan
0.75272506,United Kingdom,United Kingdom
0.6475208,Finland,Finland
0.83900595,France,France
0.36002833,Lesotho,Mongolia
0.21707778,Philippines,Romania
0.18868417,South Africa,Russia
0.79295,Japan,Japan
0.1669438,Russia,Mexico
0.45999435,Japan,Japan
0.59109235,United Kingdom,United Kingdom
0.2696991,Bolivia,Mexico
0.31591406,Singapore,Singapore
0.12772222,United States,United States
0.08361258,Slovakia,Canada
0.35246056,Canada,United States
0.15089718,Slovakia,United States
0.27200624,Uganda,Canada
0.7412741,South Korea,South Korea
0.13620068,Puerto Rico,Mexico
0.30564424,New Zealand,Spain
0.7666327,France,France
0.29565293,South Africa,Mexico
0.21488635,Hong Kong,Singapore
0.21412909,Latvia,Russia
0.1663431,United States,United States
0.2751571,Uganda,Uganda
0.5547063,France,France
0.16355896,Belgium,Germany
0.08363899,Sri Lanka,Brazil
0.22617094,France,Germany
0.29983425,Latvia,Poland
0.26887193,Canada,Canada
0.15616418,Russia,United States
0.17589095,Canada,Canada
0.15778898,South Africa,Australia
0.5423057,France,France
0.15429157,Hungary,Russia
0.44536853,Cambodia,India
0.9865116,New Zealand,New Zealand
0.28423914,New Zealand,South Africa
0.18443215,United States,United States
0.256944,Finland,Uruguay
0.104815215,Sweden,Serbia
0.8146517,Japan,Japan
0.101827204,Latvia,Bolivia
0.43285763,Ireland,Norway
0.09999295,Belgium,United States
0.39409187,Netherlands,Czechia
0.7901607,Japan,Japan
0.1213813,Russia,United States
0.12895535,South Africa,Italy
0.59114945,France,United Kingdom
0.25337467,Italy,Spain
0.26387706,Japan,Japan
0.5748174,Australia,Australia
0.44613403,Italy,Slovakia
0.22410338,Russia,Austria
0.20736434,Israel,Russia
0.24803403,Finland,Russia
0.8386795,Australia,Australia
0.45724693,Peru,Peru
0.53432226,Israel,Israel
0.36858368,Canada,United States
0.3962004,South Africa,France
0.36908242,Finland,Finland
0.1839658,Chile,Japan
0.25662583,United States,United States
0.20591384,Japan,Japan
0.63082147,Singapore,Singapore
0.8409456,Japan,Japan
0.08122864,Jordan,United States
0.27738005,South Africa,Colombia
0.3253142,New Zealand,United States
0.7404664,Ireland,United Kingdom
0.22725913,Portugal,Spain
0.5877367,Australia,Australia
0.337215,Italy,Japan
0.2219325,Belgium,United States
0.22321032,Sweden,France
0.12515834,Hungary,France
0.183592,Hungary,United States
0.295833,Russia,Germany
0.17628625,Canada,Croatia
0.5206185,Canada,United States
0.15662609,Finland,United States
0.8790252,Australia,Australia
0.28335643,Montenegro,Italy
0.26617554,Cambodia,Brazil
0.60046685,United Kingdom,Romania
0.33478865,Japan,Japan
0.1477254,Mongolia,South Africa
0.43757853,South Africa,United States
