Probabilities,predicted labels,label
0.24251889,New Zealand,Australia
0.15545219,Finland,Finland
0.13978276,United States,United States
0.91500217,South Africa,South Africa
0.2605157,Finland,Russia
0.7299228,Ireland,United Kingdom
0.112876914,Slovakia,Belgium
0.16817713,Spain,Tunisia
0.18461302,Slovakia,South Africa
0.4310049,South Africa,South Africa
0.33101138,Malaysia,United States
0.5960931,Philippines,Brazil
0.22878279,Slovakia,Poland
0.56182265,Luxembourg,France
0.14897394,Slovakia,Russia
0.3601256,Japan,Japan
0.5987394,South Africa,South Africa
0.38541633,New Zealand,Australia
0.27661574,Hungary,Czechia
0.2258919,United States,United States
0.3788642,Sweden,Iceland
0.20024242,Turkey,Turkey
0.3454712,Dominican Republic,Brazil
0.13905393,Latvia,United States
0.19106908,Italy,Italy
0.14471702,Sweden,Russia
0.114677265,France,United States
0.49564224,Singapore,Singapore
0.56645375,United Kingdom,Netherlands
0.1594718,Belgium,United States
0.666007,Japan,Japan
0.6368418,Japan,Japan
0.68180615,Puerto Rico,Singapore
0.66134655,Japan,Japan
0.08593838,South Korea,Thailand
0.6128274,Dominican Republic,Brazil
0.40919903,Spain,Spain
0.5502847,Finland,Finland
0.81246966,United Kingdom,United Kingdom
0.24220325,South Korea,Mexico
0.07372146,Dominican Republic,United States
0.09993727,Australia,United States
0.61101466,Australia,Australia
0.25538865,France,France
0.16195087,Malta,Spain
0.19014244,Mexico,Brazil
0.31281307,Japan,Japan
0.4706626,Belgium,Netherlands
0.19565204,South Africa,Argentina
0.17374562,Belgium,Germany
0.31138647,United Kingdom,United Kingdom
0.38929796,Cambodia,Laos
0.4692926,Ireland,France
0.27169728,New Zealand,United States
0.34460443,New Zealand,South Africa
0.3435876,Netherlands,Netherlands
0.14120458,Bhutan,Spain
0.4629624,Netherlands,Netherlands
0.24391802,South Africa,Thailand
0.32826355,United Kingdom,United Kingdom
0.0826998,United States,United States
0.34178388,Singapore,Thailand
0.3632996,Bangladesh,India
0.19142824,Australia,Australia
0.117750295,Slovakia,Sweden
0.71286803,Australia,Australia
0.24815287,Latvia,Finland
0.17742826,Finland,United States
0.83233976,Philippines,Thailand
0.7841304,Singapore,Singapore
0.26801986,Netherlands,France
0.64411706,Lesotho,South Africa
0.18031779,Slovakia,United States
0.15106148,Argentina,Spain
0.09079915,Latvia,Brazil
0.13099712,Italy,Italy
0.2760089,Cambodia,Indonesia
0.40917456,Philippines,Malaysia
0.83024,South Africa,South Africa
0.15963766,Peru,Brazil
0.31097037,South Africa,Eswatini
0.23196831,Italy,Japan
0.68509686,Singapore,Singapore
0.6604571,United Kingdom,United Kingdom
0.2256627,Italy,United Kingdom
0.24292018,South Africa,Mexico
0.070051156,Latvia,United States
0.19508503,Canada,United States
0.32004791,New Zealand,France
0.7562872,Australia,Australia
0.121910945,Spain,France
0.13284191,South Africa,Colombia
0.24936493,Slovakia,Czechia
0.14166768,Russia,Canada
0.28527135,Finland,Russia
0.7515684,South Africa,South Africa
0.33160084,New Zealand,United States
