Probabilities,predicted labels,label
0.22549818,Chile,Spain
0.3647079,Russia,Germany
0.11866031,Latvia,Argentina
0.87071866,Japan,Japan
0.12810513,Greece,United States
0.11926563,Sweden,Serbia
0.12404015,Latvia,India
0.19154501,Italy,Japan
0.74010944,Ireland,United Kingdom
0.2511866,United States,United States
0.13783866,Japan,Japan
0.75180465,Ireland,United Kingdom
0.21360748,Argentina,Argentina
0.9506233,United Kingdom,United Kingdom
0.5926848,United States,United States
0.8421188,Japan,Japan
0.31028762,Kyrgyzstan,Jordan
0.41331142,Finland,Russia
0.32920173,Belgium,France
0.20680906,Mexico,Colombia
0.52961165,Tunisia,Spain
0.23453777,Australia,United States
0.4667533,United Kingdom,Finland
0.19249584,Canada,Canada
0.7568386,South Africa,South Africa
0.21314353,Italy,Japan
0.29910585,Botswana,South Africa
0.10293067,Canada,Argentina
0.15668692,South Africa,Colombia
0.118937425,Thailand,Thailand
0.15897302,Italy,Puerto Rico
0.416103,France,France
0.17841157,South Africa,Brazil
0.35225916,Ireland,Brazil
0.17213629,Belgium,France
0.5494257,New Zealand,New Zealand
0.2119091,Philippines,Malaysia
0.20959608,Singapore,Taiwan
0.2060354,Greece,Bolivia
0.6347316,United Kingdom,United Kingdom
0.67511684,Canada,United States
0.15212716,Russia,Sweden
0.24973337,Kyrgyzstan,Finland
0.985444,Japan,Japan
0.5509696,Ireland,Brazil
0.1662787,Ireland,Austria
0.4535741,United States,United States
0.21287803,Belgium,France
0.5621576,United Kingdom,Denmark
0.26032647,Reunion,United States
0.055670388,Luxembourg,Taiwan
0.5362627,Sweden,Norway
0.2865026,South Africa,Brazil
0.66007245,Philippines,Indonesia
0.9745106,France,France
0.68282366,France,United Kingdom
0.28200358,Sri Lanka,Malaysia
0.50967896,Mexico,Mexico
0.27931908,Austria,Austria
0.21777017,Belgium,France
0.14846428,Italy,Brazil
0.10198619,Portugal,Brazil
0.42080602,Belgium,France
0.37987673,Finland,Russia
0.1316961,Bulgaria,Ukraine
0.2606537,Puerto Rico,South Africa
0.39463037,Greece,Greece
0.3343605,Canada,Poland
0.4898904,Lesotho,South Africa
0.7846677,Japan,Japan
0.29918212,Italy,Italy
0.34481892,Canada,Norway
0.34557325,New Zealand,Japan
0.634138,Italy,Spain
0.5003764,United Kingdom,Japan
0.42353553,Sweden,Finland
0.12899576,Belgium,United States
0.063875,Reunion,France
0.27665007,Costa Rica,Japan
0.34429193,United States,United States
0.21452329,Sweden,United States
0.35281467,Norway,Sweden
0.45818716,Ireland,New Zealand
0.17219001,Belgium,France
0.9825586,Japan,Japan
0.4690442,Uganda,Brazil
0.09032792,Switzerland,Japan
0.18405224,South Africa,Brazil
0.33584675,Kenya,Brazil
