Probabilities,predicted labels,label
0.34434232,United States,United States
0.13140158,Kyrgyzstan,Japan
0.14869793,Turkey,Spain
0.09662081,Latvia,Argentina
0.37547758,Luxembourg,France
0.5608294,France,France
0.6778293,Israel,Israel
0.36500585,Italy,Brazil
0.8022949,Japan,Japan
0.34833112,United States,United States
0.13163102,Latvia,United States
0.2035394,Philippines,Japan
0.7078796,Malta,Spain
0.74274117,United States,United States
0.080588266,Thailand,Taiwan
0.21429937,Spain,Argentina
0.54314166,United States,United States
0.2445629,Costa Rica,Colombia
0.43158123,Laos,Indonesia
0.19642071,North Macedonia,Kyrgyzstan
0.28237328,Malta,Jordan
0.24831699,Serbia,Slovakia
0.09522832,Slovakia,Ukraine
0.17612053,United Kingdom,France
0.24779901,Singapore,Singapore
0.7110206,United Kingdom,United Kingdom
0.7732364,Montenegro,Greece
0.631,Netherlands,Australia
0.118049234,Malaysia,Guatemala
0.62132657,Netherlands,Netherlands
0.51003754,Peru,Egypt
0.14870325,Canada,United States
0.29633424,Lesotho,Spain
0.11570775,Nigeria,Kenya
0.25959295,Eswatini,Brazil
0.24106936,Eswatini,South Africa
0.8402115,Japan,Japan
0.11376222,France,United States
0.14163513,Estonia,France
0.33637217,United States,United States
0.2992228,United Kingdom,United Kingdom
0.4279772,United States,United States
0.30134594,Canada,France
0.4537288,Eswatini,Japan
0.24614795,Mexico,Chile
0.18444172,Dominican Republic,Thailand
0.94899285,Japan,Japan
0.2577883,Mexico,Mexico
0.30741227,Brazil,Brazil
0.12393536,New Zealand,Japan
0.59172463,Philippines,Japan
0.16914752,Nigeria,France
0.21188393,Lesotho,Romania
0.5464116,Canada,Sweden
0.30624744,Thailand,Philippines
0.24733521,Australia,United Kingdom
0.15594137,Israel,Mexico
0.88075596,Japan,Japan
0.15668818,Poland,Czechia
0.46520478,Albania,Turkey
0.7335339,Canada,Canada
0.30372643,United Kingdom,Denmark
0.1470561,Eswatini,Australia
0.3229733,Netherlands,Netherlands
0.2286404,Reunion,United States
0.09584034,Ghana,Thailand
0.0838639,Sweden,France
0.29942417,Eswatini,Brazil
0.3914251,Australia,Australia
0.46550125,Japan,Japan
0.24835072,Thailand,Thailand
0.66035134,Uganda,Uganda
0.16462976,Reunion,United States
0.25576457,Dominican Republic,France
0.25279203,Mexico,Brazil
0.42522818,Dominican Republic,Mexico
0.5577755,Spain,France
0.6356102,Japan,Japan
0.13388658,Romania,Ukraine
0.1421134,Lesotho,Peru
0.195096,Israel,Jordan
0.23272587,Hungary,France
0.14546898,Lithuania,Russia
0.38531712,Reunion,United States
0.08409029,Uruguay,Mexico
0.3134579,South Africa,South Africa
0.48713472,Japan,Japan
0.25078788,Latvia,Estonia
0.7898387,Japan,Japan
0.46467704,Bangladesh,India
0.10787323,Albania,New Zealand
0.12146137,Latvia,Czechia
0.15799707,Uruguay,Brazil
0.25914335,United States,United States
0.5777933,Singapore,Singapore
0.343434,United Kingdom,Japan
0.14415152,Ghana,Brazil
0.19630302,South Africa,Portugal
0.2997349,United Arab Emirates,Thailand
0.4400316,Sweden,Finland
0.1222379,Dominican Republic,Mexico
0.2382695,Indonesia,Thailand
0.14720948,Lithuania,Switzerland
0.08764676,United Kingdom,France
0.141003,Sweden,Slovakia
0.29346603,Eswatini,Kenya
0.46967116,United States,United States
0.7300664,Singapore,Singapore
0.61697537,United States,United States
0.8840703,Australia,Australia
0.5340886,Netherlands,Japan
0.23291878,United Arab Emirates,United States
0.36854658,Reunion,United States
0.32259703,Dominican Republic,Brazil
0.3632921,Belgium,France
0.17164621,Mongolia,South Africa
0.17503107,Japan,Japan
0.43818218,Australia,Australia
0.77827084,United Kingdom,United Kingdom
0.3118117,Israel,United States
0.5316979,United Kingdom,United Kingdom
0.2795436,Albania,Peru
0.2805886,Ireland,Germany
0.49634737,Malaysia,Singapore
0.6087923,Singapore,Singapore
0.6700381,United States,United States
0.647053,Eswatini,South Africa
0.44382596,Reunion,United States
0.17982092,Guatemala,Brazil
0.19287768,Dominican Republic,Botswana
0.42749065,Lesotho,Malta
0.5640377,United Kingdom,United Kingdom
0.5266612,France,Belgium
0.05388528,Latvia,Taiwan
0.23031378,Belgium,France
0.09754455,Hong Kong,Germany
0.06947974,Serbia,Japan
0.102671064,France,New Zealand
0.33470327,Tunisia,Tunisia
0.11767403,Japan,Spain
0.4866937,Japan,Japan
0.203509,Uruguay,Brazil
0.21496469,Malta,Tunisia
0.44864318,Reunion,United States
0.30739686,Costa Rica,Thailand
0.16158128,Costa Rica,Brazil
0.21834011,Greece,Israel
0.114907704,France,France
0.564298,United States,United States
0.32752848,Uruguay,United States
0.33032116,Dominican Republic,Mexico
0.1517253,Romania,Poland
0.14317584,Uruguay,Russia
0.4277916,Jordan,Turkey
0.22717418,Latvia,Finland
0.35862583,Reunion,United States
0.7636788,Canada,Canada
0.118345946,Albania,France
0.28318858,United Kingdom,Brazil
0.91392255,Japan,Japan
0.19613113,Dominican Republic,Indonesia
0.4782821,Latvia,Russia
0.1805421,South Africa,Brazil
0.20028587,Netherlands,Germany
0.56461084,Lesotho,Australia
0.30057254,Reunion,Japan
0.27142075,United Kingdom,United Kingdom
0.12483382,Eswatini,Philippines
0.49370146,Canada,France
0.9351919,France,France
0.2912983,Slovenia,Croatia
0.34610415,Japan,Japan
0.28721458,Malta,Israel
0.162639,Mexico,Colombia
0.22205271,United Kingdom,France
0.16479602,Ukraine,Canada
0.30350426,Canada,Russia
0.7502829,Norway,Norway
0.17016664,Italy,Hungary
0.18503128,Dominican Republic,United States
0.25458372,Dominican Republic,Brazil
0.1531133,Spain,Russia
0.27424052,Laos,Dominican Republic
0.31296805,Ghana,Laos
0.3074805,Ireland,Botswana
0.26196748,Eswatini,South Africa
0.24568725,Philippines,Reunion
0.13081029,Belgium,Czechia
0.09495977,United Arab Emirates,Japan
0.39748806,Bangladesh,Bangladesh
0.3665578,Portugal,France
0.20200811,Estonia,Sweden
0.3879692,Mexico,Mexico
0.2153341,Eswatini,Australia
0.4832073,Italy,Spain
0.6211616,Netherlands,Netherlands
0.17339924,Malta,France
0.14471371,United Kingdom,Russia
0.37346047,United States,United States
0.27229825,Luxembourg,Czechia
0.42016312,Luxembourg,France
0.35507402,Reunion,Japan
0.12494876,Eswatini,Thailand
0.42145926,Canada,Finland
0.7508126,Ireland,Taiwan
0.5677404,Malaysia,Malaysia
0.30007306,Bulgaria,Poland
0.22536877,Ireland,Ireland
0.83929926,Singapore,Singapore
0.15829211,Uruguay,Argentina
0.47876772,New Zealand,Australia
0.1597216,Belgium,France
0.15573883,United States,Argentina
0.38061333,United States,United States
0.17202635,Netherlands,Germany
0.4757531,Latvia,France
0.47745275,Canada,United States
0.22117008,Luxembourg,Turkey
0.3834699,Canada,Norway
0.080955274,Uruguay,Russia
0.9029043,Japan,Japan
0.6945642,Canada,Russia
0.6336837,United States,United States
0.2774662,Belgium,France
0.13799395,Canada,Argentina
0.40306616,United States,United States
0.22179802,Albania,Italy
0.6788554,United States,United States
0.38559973,Reunion,France
0.1747434,Sweden,Portugal
0.9157925,Australia,Australia
0.31568292,Malaysia,Malaysia
0.34423876,Philippines,Indonesia
0.12638603,Nigeria,Taiwan
0.6783811,Canada,Canada
0.2188756,Reunion,Brazil
0.25517145,Canada,Norway
0.39085957,Puerto Rico,Puerto Rico
0.13473967,Ireland,Brazil
0.37445238,Eswatini,Brazil
0.30327156,United States,United States
0.18757072,Canada,Canada
0.16205306,Malaysia,Malaysia
0.6106923,Botswana,United States
0.26427287,Eswatini,Thailand
0.89913756,France,France
0.7502538,United Kingdom,United Kingdom
0.10768594,Italy,United States
0.2148927,Luxembourg,Germany
0.105984814,Uruguay,Brazil
0.37724006,Reunion,Italy
0.28238204,Laos,Bolivia
0.15743361,Malaysia,Philippines
0.902211,Japan,Japan
0.12654635,Albania,France
0.5970715,Australia,Australia
0.41735134,United Kingdom,United Kingdom
0.9420498,Japan,Japan
0.19940199,Portugal,United States
0.41385546,United States,Uruguay
0.37885755,Latvia,United States
0.15218803,Ghana,Brazil
0.18937159,Kyrgyzstan,Romania
0.19992797,Uruguay,United States
0.20839453,Estonia,Canada
0.16351645,Netherlands,France
0.87905663,Japan,Japan
0.66279477,Canada,Canada
0.10921449,Laos,Latvia
0.10506293,Mexico,Mexico
0.1867658,Canada,United Kingdom
0.11530152,Luxembourg,Norway
0.22372475,Uruguay,Japan
0.19746253,France,France
0.5287344,United States,Canada
0.14613615,New Zealand,New Zealand
0.36249417,Japan,Japan
0.1156424,Reunion,France
0.4230787,Mongolia,Mongolia
0.20139083,Bhutan,Japan
0.5298422,Laos,Cambodia
0.5093913,Lesotho,South Africa
0.4887335,Reunion,United States
0.75260013,Lesotho,South Africa
0.07414531,France,Germany
0.42148468,Belgium,Poland
0.17844243,Canada,Thailand
0.61670357,Kyrgyzstan,Australia
0.32045102,New Zealand,United States
0.12983876,Reunion,Poland
0.39461124,United Kingdom,United Kingdom
0.64114195,Laos,Thailand
0.50123316,Reunion,United States
0.3378138,Netherlands,Netherlands
0.40734267,Reunion,United States
0.07615795,Luxembourg,Brazil
0.5292654,United States,United States
0.3359969,Japan,Japan
0.88603425,Japan,Japan
0.1100187,Eswatini,Colombia
0.16145164,Uruguay,Brazil
0.22836737,Latvia,Canada
0.5474519,Italy,Italy
0.47426227,Latvia,Russia
0.22067326,Reunion,Brazil
0.2717705,Laos,Malaysia
0.6788107,Japan,Japan
0.20446068,Albania,Italy
0.17368785,United Kingdom,United Kingdom
0.78303015,United Kingdom,United Kingdom
0.5170904,Sweden,Finland
0.2372456,United Kingdom,France
0.82032156,United Kingdom,United Kingdom
0.43477663,Cambodia,Cambodia
0.8635946,Japan,Japan
0.14546496,Eswatini,South Africa
0.13792965,Eswatini,Brazil
0.13198926,Singapore,Singapore
0.16500829,Serbia,Russia
0.22586851,Eswatini,Thailand
0.2272237,Thailand,Taiwan
0.13882945,Bulgaria,Romania
0.15051775,Lithuania,Germany
0.3686397,Netherlands,Belgium
0.4271917,Finland,Finland
0.1798243,Denmark,Norway
0.34825045,New Zealand,Chile
0.38221455,United States,United States
0.277484,Spain,Spain
0.42783344,Luxembourg,United Kingdom
0.49952015,United Kingdom,United Kingdom
0.3187748,Nigeria,Nigeria
0.7736247,Japan,Japan
0.22418854,Reunion,France
0.104992956,Albania,United States
0.32410553,Dominican Republic,Brazil
0.73326975,Australia,South Africa
0.67541844,Malaysia,Nigeria
0.18583661,Latvia,United Kingdom
0.13879396,Portugal,Italy
0.07981318,Spain,Brazil
0.18791117,Netherlands,Netherlands
0.14456704,Latvia,Sweden
0.48122045,United States,United States
0.75349814,United States,United States
0.11567323,United States,Romania
0.53300816,United Kingdom,United Kingdom
0.18358251,Chile,Japan
0.31031471,Taiwan,Taiwan
0.46615985,United Kingdom,United Kingdom
0.6189476,Israel,Mexico
0.25297484,Latvia,Russia
0.32655707,France,Italy
0.3313432,Canada,Canada
0.18745284,Ireland,France
0.117743626,Thailand,Japan
0.6710848,Japan,Japan
0.23073946,Eswatini,Argentina
0.08267554,Serbia,Mexico
0.6922242,France,France
0.11840858,United Kingdom,Norway
0.4041467,Sweden,Sweden
0.12779763,Eswatini,Spain
0.24824145,Australia,Australia
0.9215918,France,France
0.759075,Japan,Japan
0.26428977,Spain,Bolivia
0.16694523,United Kingdom,United States
0.15464959,Romania,France
0.2816848,Austria,Austria
0.5609657,United States,United States
0.12813309,United States,Czechia
0.30170634,South Africa,Brazil
0.7101707,Spain,Spain
0.70438665,United States,United States
0.20162533,Canada,Canada
0.4295439,Finland,Finland
0.13901596,Germany,Germany
0.1616195,Albania,Brazil
0.42984134,Finland,Sweden
0.6867898,United Kingdom,United Kingdom
0.20004027,North Macedonia,United States
0.6706884,United Kingdom,United Kingdom
0.63369054,United Kingdom,Germany
0.25052947,Cambodia,Indonesia
0.2184199,Australia,South Africa
0.1525014,Latvia,Estonia
0.74168265,Japan,Japan
0.53153765,Reunion,United States
0.3481748,Luxembourg,France
0.1691223,Mongolia,Australia
0.21135251,Norway,Norway
0.21970417,Estonia,Brazil
0.4692694,Reunion,United States
0.16270113,Eswatini,Czechia
0.2627304,Reunion,United States
0.35333335,Japan,Brazil
0.30385065,Reunion,Australia
0.1521121,Eswatini,Brazil
0.29282185,Malta,Turkey
0.21809937,Canada,Japan
0.33634758,Montenegro,Greece
0.39059103,Lesotho,Botswana
0.7292994,Canada,Canada
0.5791819,Philippines,Sri Lanka
0.5737701,Australia,Australia
0.20154795,Latvia,Bulgaria
0.7274009,Singapore,Singapore
0.43801612,Canada,Ukraine
0.7105484,France,France
0.859153,Japan,Japan
0.37036976,New Zealand,Japan
0.2646069,Reunion,Canada
0.31450778,Japan,France
0.29324532,Japan,Brazil
0.1431947,Bhutan,Spain
0.3695648,Japan,Japan
0.6152157,Australia,Australia
0.24307346,Israel,Spain
0.20257188,Sweden,Sweden
0.14702031,Costa Rica,Brazil
0.30811068,Canada,United States
0.27691165,Dominican Republic,Brazil
0.4265381,Thailand,Malaysia
0.32944986,Belgium,France
0.3615007,United Kingdom,Ireland
0.33631656,Eswatini,New Zealand
0.50823575,United States,United States
0.6588828,Ireland,United Kingdom
0.5475198,United States,United States
0.14953937,Slovenia,Switzerland
0.32057324,Japan,Japan
0.53589773,Malaysia,Malaysia
0.26941103,New Zealand,Australia
0.19470741,Serbia,Poland
0.22146013,Hungary,Thailand
0.49393147,Malaysia,United States
0.62072855,Luxembourg,France
0.3119725,United Kingdom,United Kingdom
0.84305304,Canada,Canada
0.0852873,Latvia,United States
0.13989899,Slovenia,Italy
0.16377778,Indonesia,Thailand
0.3531617,Philippines,Philippines
0.7619233,Hong Kong,Taiwan
0.8507748,Japan,Japan
0.053042345,United Arab Emirates,South Korea
0.6854186,France,France
0.7098848,Netherlands,Netherlands
0.47078165,Canada,Russia
