Probabilities,predicted labels,label
0.11055893,Dominican Republic,Brazil
0.52684313,Ireland,United Kingdom
0.23051389,Bolivia,Bolivia
0.93957055,Ireland,France
0.11108519,Italy,France
0.09374313,Norway,United Kingdom
0.29938522,South Africa,South Africa
0.1589387,Slovakia,Germany
0.24517466,France,Poland
0.5082111,Philippines,Philippines
0.2595602,New Zealand,New Zealand
0.18886214,Canada,United States
0.09557126,South Africa,United States
0.15998028,Turkey,Serbia
0.11178808,South Africa,Bulgaria
0.4423814,Finland,Finland
0.9045872,New Zealand,New Zealand
0.16220713,United Kingdom,France
0.43820557,United Arab Emirates,Jordan
0.6431194,South Africa,South Africa
0.19087395,Dominican Republic,Bolivia
0.46057665,France,France
0.19513169,South Africa,Eswatini
0.0962859,Portugal,Chile
0.23480201,New Zealand,Iceland
0.14124228,Argentina,Argentina
0.13860665,Japan,United States
0.6396808,New Zealand,Norway
0.38156003,Malaysia,Singapore
0.32108116,Dominican Republic,Cambodia
0.88555926,Netherlands,Netherlands
0.102513924,Latvia,United States
0.6396303,United Kingdom,United Kingdom
0.13269208,United Kingdom,Germany
0.14843476,United Kingdom,France
0.7266884,Ireland,United Kingdom
0.23026118,United Kingdom,North Macedonia
0.36110762,Singapore,Thailand
0.26255065,Latvia,Japan
0.13811648,Dominican Republic,Brazil
0.80439746,Japan,Japan
0.407748,Latvia,Russia
0.89140713,Australia,Australia
0.28707036,Slovakia,Poland
0.34269708,Finland,Finland
0.22166727,Slovakia,Italy
0.20464735,Latvia,Sweden
0.26647884,Dominican Republic,Mexico
0.579175,Malaysia,Taiwan
0.4749547,United Kingdom,United Kingdom
0.1360773,Dominican Republic,Taiwan
0.08008858,Italy,Japan
0.23635584,Latvia,France
0.45638955,Dominican Republic,Puerto Rico
0.2677526,Latvia,Germany
0.29836655,Sweden,Finland
0.24623153,South Korea,Guatemala
0.2694913,Cambodia,Thailand
0.119095005,Italy,Bulgaria
0.34004307,New Zealand,Spain
0.5135841,Norway,Norway
0.14735174,Russia,Russia
0.67328006,Finland,Sweden
0.61741364,United Kingdom,United Kingdom
0.84664154,Philippines,Philippines
0.1928324,New Zealand,Chile
0.858882,Canada,Canada
0.25593185,New Zealand,Japan
0.36029333,Cambodia,India
0.31208214,Puerto Rico,Mexico
0.24264799,Singapore,Singapore
0.3909603,Ireland,France
0.20594947,Canada,Canada
0.1649516,Luxembourg,France
0.35117188,Philippines,Philippines
0.32409695,Philippines,Japan
0.16067773,Latvia,United States
0.4104596,Netherlands,Netherlands
0.17859897,Philippines,Taiwan
0.11459177,Slovakia,Russia
0.25983003,Belgium,United States
0.45857757,Lesotho,Eswatini
0.16806646,Japan,Japan
0.15501052,Italy,Japan
0.14545432,South Africa,Kenya
0.46690544,Japan,Japan
0.4242688,United Kingdom,France
0.11291118,Dominican Republic,Thailand
0.14264488,France,France
0.25890386,Italy,Belgium
0.35122392,United Kingdom,Denmark
0.16087142,Senegal,United States
0.5051994,New Zealand,Australia
0.112346545,Argentina,Russia
0.37446603,Sri Lanka,Brazil
0.36885956,Ireland,Norway
0.52261275,United Kingdom,United Kingdom
0.58167696,Finland,Canada
0.14832826,Hong Kong,Thailand
0.1797068,Slovakia,Romania
0.11606031,Slovakia,Japan
0.1467297,Lesotho,Colombia
0.12873992,Romania,Canada
0.29208907,Philippines,Thailand
0.25578326,Russia,Germany
0.27451664,Puerto Rico,United States
0.22197287,Chile,Mexico
0.14804122,Malta,Greece
0.86257106,France,France
0.9765648,Japan,Japan
0.1203598,Sweden,France
0.12772755,France,Eswatini
0.52515215,Mongolia,United States
0.60101396,Peru,Peru
0.19693004,Italy,Italy
0.119375825,Uganda,Brazil
0.12068917,Canada,Canada
0.28333372,Chile,Mexico
0.25430453,Portugal,Italy
0.49436432,South Korea,Singapore
0.15551896,Sweden,Germany
0.62048787,Luxembourg,France
0.16274062,Spain,Spain
0.63144124,Ireland,France
0.46948543,France,France
0.21725526,Finland,Uruguay
0.42202714,Australia,Australia
0.4400523,Philippines,Taiwan
0.780517,United Kingdom,United Kingdom
0.5742566,Malaysia,Singapore
0.19492938,Philippines,Japan
0.8924366,Canada,Canada
0.17663522,Australia,Australia
0.24588804,South Africa,Brazil
0.67778707,Australia,Australia
0.20937788,Israel,Italy
0.8252346,United Kingdom,United Kingdom
0.2649658,Luxembourg,Austria
0.20686008,Dominican Republic,Mexico
0.3536837,Belgium,France
0.39641532,South Africa,Kenya
0.17194985,Kyrgyz Republic,Japan
0.14440794,South Korea,Singapore
0.5568423,France,France
0.47361943,United Kingdom,Ireland
0.6813014,Japan,Japan
0.23857874,Malaysia,Singapore
0.79332155,New Zealand,Australia
0.3650076,Malaysia,Indonesia
0.38288245,Cambodia,Cambodia
0.21314114,Sri Lanka,Singapore
0.13835806,Italy,Italy
0.36536342,Italy,Italy
0.17515984,Uganda,Brazil
0.1311023,Tunisia,Senegal
0.51911706,Denmark,Denmark
0.6043268,Philippines,Malaysia
0.3170437,United Kingdom,France
0.22328068,Latvia,Poland
0.11829223,Italy,Japan
0.2102755,Slovakia,Russia
0.31796834,United States,United States
0.83076996,Japan,Japan
0.31937456,United Kingdom,Australia
0.41268307,France,France
0.38667643,Italy,Spain
0.27180547,Slovakia,Norway
0.18989466,Slovakia,Spain
0.19318938,Russia,Ukraine
0.095883176,Finland,United States
0.17552191,Italy,Czechia
0.25683734,Israel,Israel
0.09842753,Finland,Italy
0.7152673,United Kingdom,United Kingdom
0.41876224,United States,United States
0.56850076,Puerto Rico,Australia
0.2934293,Chile,Greece
0.14697565,Sweden,Ukraine
0.5000402,Dominican Republic,Brazil
0.25557476,Dominican Republic,Brazil
0.07908119,Canada,United States
0.5955556,New Zealand,New Zealand
0.4473968,Finland,Sweden
0.26753864,United Kingdom,France
0.23461963,Indonesia,Thailand
0.16578135,Brazil,Brazil
0.15888463,Senegal,Thailand
0.2946492,Luxembourg,France
0.39742067,Japan,Taiwan
0.14227778,Russia,Japan
0.10706607,United Kingdom,France
0.28335643,Montenegro,Italy
0.3180317,Philippines,Singapore
0.21127301,Italy,Italy
0.16497305,Italy,Spain
0.41461146,United Kingdom,United Kingdom
0.42509583,Ireland,France
0.15508509,United States,United States
0.8127115,Netherlands,United Kingdom
0.19365689,Sweden,United States
0.18714021,Montenegro,Kyrgyzstan
0.32536095,Mongolia,Russia
0.05478216,South Korea,Singapore
0.3812969,Indonesia,Indonesia
0.7852951,France,France
0.10596436,Russia,France
0.14042152,Luxembourg,Slovakia
0.1601963,Finland,United States
0.44579726,South Korea,Japan
0.43971598,Israel,Israel
0.23050602,Peru,Bolivia
0.12536986,United States,United States
0.95837355,Japan,Japan
0.44429502,Belgium,France
0.64675915,Luxembourg,France
0.22777426,Japan,Malaysia
0.19508503,Canada,United States
0.23626378,Australia,United States
0.58898264,Japan,Japan
0.95525914,United Kingdom,United Kingdom
0.31122547,United Kingdom,France
0.2012764,United Kingdom,Poland
0.22069477,Dominican Republic,Malaysia
0.16256286,South Korea,Greece
0.27568614,Finland,Japan
0.57543445,United Kingdom,United Kingdom
0.52119225,United Kingdom,United Kingdom
0.16633607,South Africa,Ghana
0.61183715,Ireland,United Kingdom
0.6123549,South Korea,Canada
0.645433,Japan,Japan
0.18581033,Slovakia,France
0.100828454,Malaysia,Singapore
0.6435448,Canada,Canada
0.14217943,Sweden,Norway
0.12460953,South Africa,Romania
0.16015053,Chile,Chile
0.561654,Canada,Canada
0.86675364,Ireland,Ireland
0.5695053,Sri Lanka,Malaysia
0.4172396,Australia,Australia
0.22005847,France,France
0.15577693,Russia,Russia
0.2766952,Slovakia,Hungary
0.17946696,Belgium,France
0.14222191,Uruguay,Portugal
0.13878252,Finland,Russia
0.10334314,Italy,Japan
0.07611492,France,France
0.31593895,Ireland,United Kingdom
0.22410338,Russia,Austria
0.2278611,South Africa,Brazil
0.6108855,Australia,Australia
0.19409145,Cambodia,Mexico
0.12329868,Slovakia,Japan
0.21537778,Sweden,Sweden
0.33040547,Australia,Australia
0.5530344,Japan,Japan
0.27623904,South Africa,South Africa
0.31211498,Portugal,Bulgaria
0.18332766,Latvia,Argentina
0.29459402,Singapore,United States
0.29191685,Bulgaria,France
0.4483398,Japan,Japan
0.09562646,South Korea,Japan
0.13812192,Sri Lanka,Brazil
