Probabilities,Predicted labels,label,All-Probs
0.24240687,Slovakia,Czech Republic,"[0.0009401926654390991, 0.0008384030661545694, 0.025971153751015663, 0.015312566421926022, 0.00020656759443227202, 0.03095802664756775, 0.016715804114937782, 0.005243413615971804, 0.00024519843282178044, 0.0036537405103445053, 0.0007587686413899064, 0.014683879911899567, 0.0001326768979197368, 2.7097890779259615e-05, 0.07468448579311371, 4.1509323637001216e-05, 0.031210534274578094, 0.0009383849683217704, 0.0005621219170279801, 0.0025810846127569675, 0.03437896445393562, 0.0014292870182543993, 0.01658572070300579, 0.010442701168358326, 0.0052269576117396355, 0.003059313865378499, 0.0010680819395929575, 0.03820626810193062, 1.0420739272376522e-05, 0.008395236916840076, 4.517428533290513e-05, 0.0006529116071760654, 0.0019310424104332924, 0.01165603194385767, 0.003530252957716584, 0.0422685444355011, 0.034287285059690475, 0.0015539522282779217, 0.00020395161118358374, 0.00043154656304977834, 0.0010455191368237138, 3.666017391878995e-06, 2.4124128685798496e-05, 7.673010986763984e-05, 0.0002066097513306886, 0.020136281847953796, 0.019250014796853065, 0.0030610240064561367, 0.016652096062898636, 0.0004354408592917025, 1.559563861519564e-05, 0.006464953534305096, 0.0025516075547784567, 0.0005766322137787938, 0.0026561736594885588, 0.00020266805950086564, 6.676224438706413e-05, 0.001554794143885374, 0.0015193336876109242, 0.0003972879785578698, 0.011949938721954823, 0.0019666363950818777, 9.683290409157053e-05, 0.00015081478341016918, 5.800825238111429e-05, 0.005335604306310415, 0.00011417454516049474, 0.027292290702462196, 0.000286865106318146, 0.00024699713685549796, 0.0385807603597641, 0.00037525323568843305, 0.06662598252296448, 0.00015017982514109462, 0.003394881496205926, 0.009722422808408737, 0.24240687489509583, 0.02899436466395855, 0.00021666190878022462, 0.0010265747550874949, 0.0015222865622490644, 0.010812127962708473, 0.013000315986573696, 0.007078429684042931, 0.0027512104716151953, 0.00234739831648767, 0.005529619753360748]"
0.54128176,Italy,Japan,"[0.0009212681325152516, 3.408407428651117e-05, 0.0004757665446959436, 0.0008517915848642588, 0.0002053017378784716, 0.0005079600377939641, 0.00011797292972914875, 0.008449812419712543, 0.0008425393607467413, 0.008977330289781094, 0.00012053767568431795, 0.0006542458431795239, 0.0003422813315410167, 1.4021374227013439e-05, 0.0004993680631741881, 2.4261604266939685e-05, 0.0010949827264994383, 0.0003896328853443265, 0.0007647084421478212, 0.0006926417117938399, 0.006409729365259409, 0.0010916170431300998, 0.5412817597389221, 0.0015931904781609774, 0.0003095871943514794, 0.03435007855296135, 0.0008695597643963993, 0.016237376257777214, 0.0002269567921757698, 0.0003448475035838783, 0.0009124804637394845, 0.0016131546581164002, 0.0002222819603048265, 0.006724248174577951, 0.0005018984666094184, 0.0007459475309588015, 0.00012503730249591172, 0.00479906378313899, 0.0005595505936071277, 0.0018735600169748068, 0.009591981768608093, 0.00102380255702883, 0.00011374747555237263, 0.0006358571699820459, 0.0007942160591483116, 0.0002415882481727749, 0.004656107164919376, 2.051994488283526e-05, 0.214183509349823, 0.0005441897665150464, 2.7799624149338342e-05, 0.00025975005701184273, 0.0005393311148509383, 0.001964230788871646, 0.00179761101026088, 0.0002480500843375921, 0.0003295664209872484, 0.0004099314974155277, 0.004593207035213709, 5.385598706197925e-05, 0.007618771865963936, 0.05683833733201027, 0.000669493863824755, 8.964996595750563e-06, 9.253057214664295e-05, 0.0022402459289878607, 8.139327837852761e-05, 0.001434282516129315, 0.0019437514711171389, 0.0004129008448217064, 0.00020492187468335032, 0.00010146322165383026, 0.0007211227202787995, 0.00015147474186960608, 0.003315621055662632, 2.0031606254633516e-05, 0.007098781410604715, 0.0018617832101881504, 0.000845045258756727, 0.001527111977338791, 0.00022968772100284696, 0.001640037284232676, 0.0017462600953876972, 0.01327479723840952, 0.0002929581387434155, 0.00579300569370389, 0.0010339758591726422]"
0.25565046,Spain,Spain,"[0.00047596392687410116, 0.0002128305350197479, 0.0038281576707959175, 0.0038196169771254063, 0.004256005864590406, 0.0004396517761051655, 0.00012124058412155136, 6.726607534801587e-05, 0.0009233253658749163, 0.05950559303164482, 0.00017113388457801193, 0.06262116879224777, 3.5112367186229676e-05, 8.531654202670325e-06, 0.008564275689423084, 3.069801095989533e-05, 0.0005908425082452595, 0.00026210828218609095, 0.0002840679371729493, 0.00039726198883727193, 0.0005859013763256371, 0.0005219928571023047, 0.21091295778751373, 0.0004582096007652581, 0.00024233842850662768, 0.00030534344841726124, 0.003101490903645754, 0.027356065809726715, 1.2988974162908562e-07, 0.0024433895014226437, 3.998867759946734e-05, 0.0002738918992690742, 0.0011180784786120057, 0.04098126292228699, 0.0002873046323657036, 0.0007946486584842205, 2.262424459331669e-05, 0.014955133199691772, 5.2592207794077694e-05, 0.00027850878541357815, 0.0009695247281342745, 2.382126353950298e-07, 1.7953800124814734e-05, 2.223558294645045e-05, 0.0001935217878781259, 0.000618988648056984, 0.010871678590774536, 7.830942195141688e-05, 0.00023618795967195183, 4.3308809836162254e-05, 0.00011591718066483736, 0.00011234499834245071, 0.0005879119271412492, 0.0011546355672180653, 0.008686773478984833, 3.9616988942725584e-05, 0.0008776049944572151, 0.00016384932678192854, 0.08769065141677856, 0.01255805604159832, 0.0010284811723977327, 0.0002462326374370605, 0.018592199310660362, 0.0020962136331945658, 0.0003030701191164553, 0.004304063972085714, 1.7698695955914445e-05, 0.0012014351086691022, 0.005968857556581497, 0.001210793387144804, 0.00017305674555245787, 4.057363639731193e-06, 0.006438873708248138, 1.1660476957331412e-05, 0.03885352611541748, 6.00546263740398e-05, 0.008618893101811409, 0.0013257595710456371, 4.565405106404796e-05, 0.04769786074757576, 0.002607133472338319, 0.005980960559099913, 0.0006586636882275343, 0.00021411270427051932, 0.0002916309458669275, 0.25565046072006226, 0.020012598484754562]"
0.32056335,Jordan,United States,"[0.00671794731169939, 0.000460556912003085, 0.0004148533917032182, 0.003927485551685095, 0.004497244954109192, 0.008329454809427261, 0.0010721901198849082, 0.00010890491103054956, 0.00031676446087658405, 0.03555688634514809, 0.025021785870194435, 0.0020528400782495737, 0.027317482978105545, 0.00010362259490648285, 0.010340619832277298, 0.00036183089832775295, 0.012011446990072727, 0.015399987809360027, 0.32056334614753723, 0.0613713264465332, 0.00033212683047167957, 0.0015893814852461219, 0.019565794616937637, 0.06939799338579178, 0.0019512862199917436, 0.0042986576445400715, 0.0004987597349099815, 0.01638919860124588, 0.00022699983674101532, 9.090117964660749e-05, 1.8894757886300795e-05, 0.0023624124005436897, 0.0019227976445108652, 0.0053034583106637, 0.0004730731016024947, 0.003335617482662201, 0.023907260969281197, 0.0014608829515054822, 5.051727202953771e-05, 0.0031411643140017986, 0.0016139316139742732, 0.00012700962543021888, 5.3913281590212137e-05, 0.001182007952593267, 0.0007370214443653822, 0.0066473595798015594, 0.001971600577235222, 1.4258485862228554e-05, 0.040243230760097504, 0.0011672750115394592, 0.0001492291921749711, 0.012466462329030037, 0.002294082660228014, 0.006156063172966242, 0.002712246496230364, 0.00025968762929551303, 0.0027620242908596992, 0.14344686269760132, 0.0005022753030061722, 0.001033156644552946, 0.010806247591972351, 0.005194704048335552, 0.00010090065916301683, 4.1629460611147806e-05, 8.030221215449274e-05, 0.002841591602191329, 0.00744929164648056, 0.010771655477583408, 0.0014124984154477715, 0.00047109488514252007, 0.003387687262147665, 0.00013008493988309056, 0.00018295558402314782, 0.00705660181120038, 0.00576352933421731, 0.00010192359331995249, 0.002542017260566354, 0.008830389939248562, 0.0005694467108696699, 0.001148394774645567, 0.0014047834556549788, 0.0031839311122894287, 0.0020173974335193634, 0.00020259470329619944, 0.0021376025397330523, 0.003386491909623146, 0.0009807622991502285]"
0.2292245,South Korea,Japan,"[0.006651904433965683, 0.0010293787345290184, 0.006221959833055735, 0.006652044132351875, 1.6919369954848662e-05, 0.0016363682225346565, 0.0002574426180217415, 0.00023125563166104257, 0.0002879626117646694, 0.002329570706933737, 0.0003940323949791491, 0.01904422603547573, 3.301178367109969e-05, 7.513788295909762e-05, 0.018630195409059525, 2.0253388356650248e-05, 0.015105563215911388, 0.00047591974725946784, 9.452683298150077e-05, 0.0008515898371115327, 0.007545563858002424, 0.0009788473835214972, 0.04035447537899017, 0.000486767414258793, 0.0008770616841502488, 0.11645860970020294, 0.018186690285801888, 0.007397826761007309, 0.00013602053513750434, 0.0055305068381130695, 0.0069337934255599976, 0.0025193903129547834, 0.00024891161592677236, 0.03538762778043747, 0.0007690157508477569, 0.004321398679167032, 0.0012865234166383743, 0.0017086761072278023, 0.009215652011334896, 0.006713929120451212, 0.0031825609039515257, 0.0007987078279256821, 0.002687089378014207, 0.003947517368942499, 0.0005534197553060949, 0.0029106722213327885, 0.011187709867954254, 0.002837915439158678, 0.1649990826845169, 0.0016545428661629558, 2.242688242404256e-05, 0.0001527466083643958, 0.002430566819384694, 0.0022677856031805277, 0.006850502919405699, 0.004408800043165684, 0.002146350685507059, 0.0033402482513338327, 0.0009206546819768846, 0.0005263090133666992, 0.0030343427788466215, 0.22922450304031372, 0.0003388566547073424, 4.757307397085242e-05, 0.00013655942166224122, 0.0009197770850732923, 0.0006403467268683016, 0.0010240384144708514, 0.043084632605314255, 0.00022276614618021995, 0.0005594842368736863, 0.00029418483609333634, 0.0035802223719656467, 0.0003285438579041511, 0.001684111775830388, 0.00020976376254111528, 0.08654237538576126, 0.0007931984728202224, 0.026981839910149574, 0.001996593317016959, 0.0037914637941867113, 0.011061841621994972, 0.0027969302609562874, 0.0016240860568359494, 0.0004887434770353138, 0.001327119069173932, 0.012343906797468662]"
0.5841889,Cambodia,Thailand,"[0.02674008347094059, 0.005570877343416214, 0.0001162272528745234, 0.00014852314780000597, 0.00030631088884547353, 0.0002795820473693311, 0.00015972272376529872, 7.466517217835644e-07, 0.006664822343736887, 0.0015390157932415605, 0.0061369952745735645, 0.0004042440268676728, 0.00017194612883031368, 0.03268611431121826, 7.318957159441197e-06, 0.027109526097774506, 0.004489407874643803, 0.003849167376756668, 0.000943462538998574, 0.000615492754150182, 1.610970139154233e-05, 0.0026410347782075405, 0.00021537525753956288, 4.815691499970853e-05, 1.3211786153988214e-06, 0.006322632078081369, 0.016950346529483795, 0.00040842057205736637, 0.0025190406013280153, 0.0002364324900554493, 0.009075791575014591, 0.00774897076189518, 0.003641698742285371, 0.0023783110082149506, 7.466247188858688e-05, 0.0011355006136000156, 0.0003322646953165531, 0.0010661468841135502, 0.0017603691667318344, 0.00941131915897131, 0.005193064454942942, 0.00014723106869496405, 0.5841888785362244, 0.005798256490379572, 0.0009350748150609434, 1.7698563169687986e-05, 0.0012733290204778314, 0.0021976784337311983, 0.0043828850612044334, 0.003908694256097078, 0.00010252324136672541, 0.00014099622785579413, 0.0039853304624557495, 0.025689899921417236, 7.902189827291295e-05, 0.010569288395345211, 0.0007035425514914095, 0.011637532152235508, 9.44364073802717e-05, 0.0004257932596374303, 0.00040686162537895143, 0.003036480164155364, 8.670894203532953e-06, 0.0001702196168480441, 0.00025890569668263197, 0.007668501231819391, 0.03933218494057655, 1.3360429875319824e-05, 0.005100894253700972, 0.010301868431270123, 0.0009322930709458888, 0.0029296609573066235, 7.141593960113823e-05, 0.0009645898244343698, 0.00045231322292238474, 8.913194164961169e-07, 0.00026592303765937686, 0.0004941992810927331, 0.05062977969646454, 0.0005250859539955854, 0.02872723713517189, 0.0004331358359195292, 0.0001053377563948743, 6.388982455973746e-06, 0.001150087104178965, 0.00026462675305083394, 0.00035444620880298316]"
0.1970796,Portugal,Singapore,"[0.011934293434023857, 4.5545155444415286e-05, 0.0019934014417231083, 0.0065017445012927055, 0.01747090369462967, 0.006280228495597839, 0.0007236137753352523, 0.00021575926803052425, 0.014032562263309956, 0.197079598903656, 0.0041606794111430645, 0.007250149734318256, 0.0009907695930451155, 0.002699542324990034, 0.00031711263000033796, 0.025525590404868126, 0.006076403893530369, 0.0019512171857059002, 0.0010915336897596717, 0.0029876651242375374, 0.0025046863593161106, 0.0017061331309378147, 0.035311516374349594, 0.00448045926168561, 9.630863496568054e-05, 0.0012421180726960301, 0.001413581776432693, 0.0503217913210392, 0.00792086310684681, 0.0017041395185515285, 0.00032835855381563306, 0.0014397751074284315, 0.016189686954021454, 0.0071608456782996655, 0.005139311775565147, 0.006981370039284229, 0.00044905522372573614, 0.013985267840325832, 0.0006277051870711148, 0.002097459277138114, 0.023015057668089867, 0.0012366031296551228, 0.0005104764713905752, 0.0093589061871171, 0.0010539005743339658, 0.0008291684789583087, 0.00777821522206068, 0.0002853187615983188, 0.0023785920348018408, 0.00036078336415812373, 0.000998976523987949, 0.002926918212324381, 0.011387652717530727, 0.005399941932410002, 0.012350456789135933, 0.00646565854549408, 0.000735960085876286, 0.010572714731097221, 0.003213750896975398, 0.00822631549090147, 0.008136029355227947, 0.0041543832048773766, 0.001148188835941255, 0.011078862473368645, 0.004445516038686037, 0.012131206691265106, 0.01224801316857338, 0.004894649144262075, 0.16085106134414673, 0.0008044597343541682, 0.0012735328637063503, 0.000755290559027344, 0.002305788453668356, 0.001034311018884182, 0.004282172303646803, 2.101668769682874e-06, 0.0086645083501935, 0.052859846502542496, 0.001069788821041584, 0.03811420500278473, 0.004007924348115921, 0.006841938477009535, 0.001941309543326497, 0.0008310970151796937, 0.0017399594653397799, 0.06745651364326477, 0.007413296028971672]"
0.123261124,Chile,Germany,"[0.003570371074602008, 0.0030551236122846603, 0.008337333798408508, 0.020190874114632607, 0.0003686396812554449, 0.02460956759750843, 0.0022980798967182636, 0.00019179057562723756, 0.002649415982887149, 0.011562267318367958, 0.0029287401121109724, 0.007286891806870699, 0.00014577334513887763, 0.00035373042919673026, 0.0010381399188190699, 0.0006152030546218157, 0.02910248562693596, 0.0008553133229725063, 0.00020512020273599774, 0.011372203938663006, 0.00044529835577122867, 0.0009583915816619992, 0.006855462212115526, 0.041992075741291046, 0.0021176880691200495, 0.02363877184689045, 0.00744442967697978, 0.06094400957226753, 0.00014327811368275434, 0.005563637241721153, 0.00010649211617419496, 0.0008094870718196034, 0.024669911712408066, 0.01107584685087204, 0.02271411567926407, 0.011648062616586685, 0.004300910513848066, 0.12326112389564514, 0.0001438742910977453, 0.00019657483790069818, 0.008541595190763474, 0.0002693524875212461, 8.324089139932767e-05, 0.00033389305463060737, 0.0004124011902604252, 0.0014116588281467557, 0.00210055080242455, 0.0010519952047616243, 0.03412160649895668, 6.858620326966047e-05, 0.0011773969745263457, 0.002215317217633128, 0.020377546548843384, 0.0020304364152252674, 0.0008549349149689078, 0.0003653839521575719, 0.00526754604652524, 0.006100724451243877, 0.0002197326102759689, 8.330109267262742e-05, 0.020867034792900085, 0.0711144506931305, 0.00017328817921224982, 0.00019814152619801462, 0.0023196982219815254, 0.07253393530845642, 0.00039523327723145485, 0.06798367947340012, 0.012621179223060608, 0.002764863893389702, 0.01358750555664301, 0.0005256954464130104, 0.0050267972983419895, 0.001292819157242775, 0.0028423217590898275, 0.00010701744758989662, 0.012470260262489319, 0.05843225121498108, 7.164469570852816e-05, 0.0050813681446015835, 0.001786049804650247, 0.0030965537298470736, 0.009778428822755814, 0.00042907975148409605, 0.002276828046888113, 0.06496941298246384, 0.00040076105506159365]"
0.056728877,Romania,Malaysia,"[0.0020789839327335358, 0.0008297070162370801, 0.05672887712717056, 0.014958666637539864, 0.0013876729644834995, 0.01411597989499569, 0.0041973888874053955, 0.006249667145311832, 0.002470201812684536, 0.03486735001206398, 0.004342050291597843, 0.01290531363338232, 0.0001411574921803549, 0.00016284109733533114, 0.0141583401709795, 0.00044852058636024594, 0.006426749750971794, 0.00039673259016126394, 0.0005587457562796772, 0.0017255512066185474, 0.026468271389603615, 0.0020934920758008957, 0.052227310836315155, 0.01856887713074684, 0.0033991942182183266, 0.017809178680181503, 0.03454431891441345, 0.04614928737282753, 0.002121318830177188, 0.013426776975393295, 0.008044546470046043, 0.014477932825684547, 0.0009094889392144978, 0.030868321657180786, 0.0050629205070436, 0.012014812789857388, 0.0029009319841861725, 0.010618172585964203, 0.0023474458139389753, 0.010899477638304234, 0.0034571520518511534, 0.0060394457541406155, 0.009960458613932133, 0.011904748156666756, 0.0032975103240460157, 0.0029288860969245434, 0.010483883321285248, 0.002122520934790373, 0.009429599158465862, 0.013462420552968979, 0.0010393070988357067, 0.0019604365807026625, 0.004652390722185373, 0.0067194062285125256, 0.01548770535737276, 0.005369883496314287, 7.771792297717184e-05, 0.0033337848726660013, 0.0198550745844841, 0.027654197067022324, 0.009626315906643867, 0.05073653534054756, 0.004731436260044575, 0.006250143516808748, 0.002485822420567274, 0.004176553338766098, 0.00020837626652792096, 0.015660619363188744, 0.0033392258919775486, 0.0016242983983829618, 0.0027637258172035217, 0.026388725265860558, 0.017883317545056343, 0.00017461503739468753, 0.03906187042593956, 2.635965938679874e-05, 0.023495566099882126, 0.01928233541548252, 0.0039028115570545197, 0.013788403943181038, 0.015138891525566578, 0.01119107287377119, 0.008004491217434406, 0.01851656846702099, 0.0025475886650383472, 0.007928305305540562, 0.03772692382335663]"
0.52314943,Australia,Australia,"[0.0573355071246624, 7.246548921102658e-05, 9.066353959497064e-05, 0.022444430738687515, 0.0011865586275234818, 0.0007304321625269949, 0.0003614811575971544, 2.7186883926333394e-06, 0.5231494307518005, 0.010157137177884579, 0.00018534153059590608, 0.0004947095294483006, 0.0008028342854231596, 0.017282025888562202, 0.0026976177468895912, 0.001102779759094119, 0.0006456906558014452, 0.05009789764881134, 0.005391586571931839, 0.002052462426945567, 3.3158587029902264e-05, 0.006789925508201122, 0.0004155024071224034, 0.0005296763847582042, 2.6764815629576333e-05, 0.0003229326393920928, 0.00022033309505786747, 0.002435486763715744, 0.00014286368968896568, 0.00010208839375991374, 5.855029303347692e-05, 0.0019677518866956234, 0.031007979065179825, 0.0002859693195205182, 0.00024215939629357308, 0.0012407805770635605, 0.00019151525339111686, 0.0020789073314517736, 0.00015218715998344123, 0.0004298668063711375, 0.0050916895270347595, 3.1732670322526246e-05, 0.006084616295993328, 0.0008201996679417789, 0.0006692844908684492, 0.00020827323896810412, 0.0006281568203121424, 2.6755860744742677e-05, 0.0017772037535905838, 0.0005017473013140261, 0.00015463093586731702, 0.0019135872134938836, 0.005416189320385456, 0.0009396527311764657, 7.846903463359922e-05, 0.01896926388144493, 0.004450742620974779, 0.03808863088488579, 5.218677324592136e-05, 0.004906782880425453, 0.0011107063619419932, 0.0005441244575195014, 9.84646067081485e-06, 0.00042166022467426956, 0.00035436273901723325, 0.014307749457657337, 0.003016254398971796, 0.00037636447814293206, 0.043920762836933136, 0.003963937051594257, 0.0010013087885454297, 0.0013250734191387892, 0.06775064766407013, 0.0010138725629076362, 0.0006495098932646215, 6.35627714018483e-07, 0.0004072766751050949, 0.010236723348498344, 0.0026348812971264124, 0.005041957832872868, 0.0004862507921643555, 0.00035360793117433786, 0.0004871335986535996, 1.1021184036508203e-05, 0.0038976764772087336, 0.0007988155703060329, 0.00010988109715981409]"
