Probabilities,predicted labels,label
0.26362133,Italy,France
0.3906256,United Kingdom,United Kingdom
0.17276615,United Kingdom,Japan
0.3483409,Italy,Brazil
0.27308586,Eswatini,Japan
0.35103858,Italy,Slovenia
0.6031867,South Africa,South Africa
0.21566723,Philippines,Canada
0.26106215,Italy,Italy
0.29966706,Dominican Republic,United States
0.5407695,South Africa,Brazil
0.4107328,Finland,Japan
0.17873326,Italy,Slovenia
0.88862664,Japan,Japan
0.17746294,South Korea,South Korea
0.15944283,Costa Rica,Thailand
0.3970613,New Zealand,Norway
0.124877036,Chile,Argentina
0.105459735,South Africa,Canada
0.1511184,Netherlands,Poland
0.18970297,Dominican Republic,Canada
0.13491008,Belgium,United States
0.80773,Philippines,Cambodia
0.14045644,United Kingdom,Russia
0.3383114,Luxembourg,Germany
0.8032506,South Africa,Botswana
0.09457924,Mexico,Botswana
0.78565264,United Arab Emirates,United Arab Emirates
0.21872506,Malaysia,Indonesia
0.898304,New Zealand,New Zealand
0.22346707,Portugal,Portugal
0.4714833,Chile,Mexico
0.40612304,Russia,Russia
0.41676462,United Kingdom,Japan
0.56645375,United Kingdom,Netherlands
0.40056324,Sweden,Norway
0.24180402,Argentina,Australia
0.34777564,Puerto Rico,Mexico
0.1624831,Finland,Lithuania
0.33478865,Japan,Japan
0.5488485,United Kingdom,United Kingdom
0.17202199,South Korea,South Korea
0.92683774,Australia,Australia
0.93791753,Japan,Japan
0.3642015,Chile,Portugal
0.59142023,Ireland,Taiwan
0.38715702,Japan,Japan
0.14000124,Russia,United States
0.33086315,Finland,Norway
0.1205691,Senegal,South Africa
0.2561039,Ghana,Brazil
0.12544695,South Africa,United States
0.13438049,North Macedonia,Spain
0.19619997,Japan,United States
0.19265638,North Macedonia,Turkey
0.09589861,Botswana,United States
0.2351718,South Africa,Greece
0.26800087,Argentina,Argentina
0.4067629,South Africa,Peru
0.80945736,France,France
0.13666375,Latvia,United States
0.19291553,Netherlands,Netherlands
0.2605157,Finland,Russia
0.10602176,Israel,Singapore
0.24728431,Puerto Rico,United States
0.520873,South Africa,South Africa
0.10815581,Hungary,United States
0.07139798,Sweden,Chile
0.22375274,Sweden,Poland
0.10373625,Bulgaria,Russia
0.55775416,South Africa,South Africa
0.16153467,Slovakia,Czechia
0.10688885,Russia,Russia
0.5709913,Finland,Finland
0.21796454,Slovakia,Croatia
0.19738878,United States,United States
0.8968987,Japan,Japan
0.27406994,Finland,Australia
0.1477254,Mongolia,South Africa
0.828411,New Zealand,New Zealand
0.1838363,Luxembourg,Japan
0.5076145,Belgium,United States
0.57407063,New Zealand,Australia
0.13398097,Italy,Italy
0.6308419,Italy,Spain
0.055233054,Senegal,Brazil
0.69130826,India,India
0.20201725,Peru,Mexico
0.878767,United Kingdom,United Kingdom
0.5115453,Australia,Australia
0.34755066,United Kingdom,Argentina
0.11113898,North Macedonia,Italy
0.17848442,Finland,United States
0.1276323,New Zealand,Ireland
0.22406985,Sweden,France
0.54220176,Dominican Republic,Brazil
0.39356315,Japan,United States
0.15678671,Uganda,Brazil
0.2360166,Canada,United States
0.19767442,South Africa,Argentina
0.33558342,Malta,Spain
0.2944121,Dominican Republic,Brazil
0.6278074,Puerto Rico,Brazil
0.08029024,Philippines,Brazil
0.32132608,South Korea,Colombia
0.315107,Finland,United States
0.34457085,Luxembourg,United Kingdom
0.4219898,France,France
0.8219597,Japan,Japan
0.6959851,Japan,Japan
0.084506616,Luxembourg,Denmark
0.06447551,Israel,Spain
0.48473373,Cambodia,Cambodia
0.82683134,South Africa,South Africa
0.26310387,Egypt,Turkey
0.6048254,Canada,Norway
0.33968586,New Zealand,United States
0.10093965,South Korea,Japan
0.21393935,Dominican Republic,Brazil
0.14615004,Canada,United States
0.17056118,Belgium,Canada
0.6640737,Finland,Finland
0.23831874,Latvia,Poland
0.2259585,New Zealand,Norway
0.10183068,South Africa,France
0.7696161,Ireland,United Kingdom
0.4298036,South Africa,Chile
0.58550674,Finland,Sweden
0.48637214,Lesotho,South Africa
0.6222378,Philippines,Thailand
0.54664665,Singapore,Mexico
0.7666327,France,France
0.44223186,Belgium,Poland
0.18964277,Italy,Japan
0.46149725,United States,United States
0.32958236,South Korea,Malaysia
0.4437753,France,France
0.20405981,Netherlands,Ireland
0.28423256,Spain,Spain
0.15549618,Belgium,Germany
0.43405202,New Zealand,Norway
0.16788788,Slovakia,France
0.07862196,Latvia,Argentina
0.41311333,South Korea,Thailand
0.68563384,Japan,Japan
0.24880746,Latvia,United States
0.2883905,Belgium,Denmark
0.27920717,Russia,Russia
0.4910465,Russia,Russia
0.13269803,United Kingdom,France
0.101320304,South Africa,Brazil
0.986741,Japan,Japan
0.17336668,New Zealand,Canada
0.24203695,Kenya,Eswatini
0.4804283,Italy,United States
0.04159427,Bangladesh,Japan
0.10306237,Australia,Taiwan
0.7924473,France,France
0.50181025,United Kingdom,United Kingdom
0.20163822,Eswatini,Brazil
0.15876786,New Zealand,Argentina
0.24011375,Sweden,Denmark
0.22598422,Chile,Israel
0.44887468,Canada,United States
0.37032697,Netherlands,Netherlands
0.066942215,Uruguay,Argentina
0.28575924,Italy,United States
0.15800674,Philippines,Russia
0.17169508,Slovakia,Slovakia
0.12717657,Slovenia,Slovenia
0.42400515,Malaysia,United States
0.5150943,New Zealand,Australia
0.25699988,Philippines,Indonesia
0.3451487,Turkey,Italy
0.31062582,Japan,France
0.2681529,Dominican Republic,United States
0.17706867,Guatemala,Chile
0.1774859,United Kingdom,Russia
0.7196124,Lesotho,South Africa
0.9704179,United Kingdom,United Kingdom
0.32004791,New Zealand,France
0.35350463,South Africa,Australia
0.16941418,Iceland,Japan
0.142053,Argentina,United States
0.54630834,South Africa,Brazil
0.07531966,Argentina,India
