Probabilities,Predicted labels,label,All-Probs
0.1021995,This image shows the country New Zealand,Czech Republic,"[0.00045597643475048244, 0.00020211574155837297, 0.03174979239702225, 0.007585697341710329, 0.00011902594269486144, 0.0112506914883852, 0.023899808526039124, 0.022192422300577164, 0.00040738427196629345, 0.002518891589716077, 0.0028828217182308435, 0.02100294828414917, 0.0015621281927451491, 1.5850815771045745e-06, 0.06593689322471619, 7.678533438593149e-05, 0.014912650920450687, 0.00041093354229815304, 2.862234578060452e-05, 0.000599408580455929, 0.05979384481906891, 0.00014761461352463812, 0.03288829326629639, 0.025637280195951462, 0.023113470524549484, 0.0037719039246439934, 0.0014889591839164495, 0.059182386845350266, 4.292824087315239e-05, 0.006416297983378172, 0.0005264126812107861, 0.0005051561747677624, 0.003131255740299821, 0.014842106960713863, 0.006129134446382523, 0.019899459555745125, 0.05416398495435715, 0.001363323419354856, 0.0002865223796106875, 0.0002717322495300323, 0.0032165294978767633, 1.0796620699693449e-05, 1.1962149073951878e-05, 0.00020509431487880647, 8.582132431911305e-05, 0.03757515922188759, 0.008298984728753567, 0.00230140401981771, 0.01970314234495163, 0.00026711408281698823, 1.1382056982256472e-05, 0.007156791631132364, 0.003433702513575554, 0.000977230491116643, 0.002462602686136961, 3.578274481697008e-05, 2.0873283574474044e-05, 0.0003869533829856664, 0.003558221273124218, 2.6594674636726268e-05, 0.02152329869568348, 0.0008510592160746455, 0.004698599223047495, 0.00021115275740157813, 1.027808593789814e-05, 0.0028808924835175276, 1.871868698799517e-05, 0.02930814027786255, 5.536286698770709e-05, 0.00014232232933863997, 0.02798907272517681, 0.00010937047773040831, 0.1021995022892952, 0.00012273187167011201, 0.002266701078042388, 0.02382180280983448, 0.09749973565340042, 0.02332400530576706, 7.248346082633361e-05, 0.0003944017516914755, 0.0004694333183579147, 0.01554846204817295, 0.01238993275910616, 0.012028172612190247, 0.0033558630384504795, 0.0029854383319616318, 0.004578232765197754]"
0.60001606,This image shows the country Italy,Japan,"[0.0003968536329921335, 2.8216476493980736e-05, 0.0007951987208798528, 0.0003899632138200104, 0.00010423597996123135, 4.1970080928876996e-05, 5.1863207772839814e-05, 0.019877731800079346, 0.0003773846838157624, 0.005869294051080942, 0.00022900543990544975, 0.0006007709889672697, 0.0033772860188037157, 4.885050657321699e-07, 0.0004048576520290226, 6.937060243217275e-05, 0.00040654148324392736, 0.00022142266971059144, 4.924660606775433e-05, 0.0003510239766910672, 0.004523491021245718, 0.0002147264895029366, 0.6000160574913025, 0.0008003998664207757, 0.0011794627644121647, 0.012811259366571903, 0.00046919993474148214, 0.01341310702264309, 0.00044181456905789673, 0.00016204264829866588, 0.0023499049711972475, 0.0006860954454168677, 0.0006013292004354298, 0.006479366682469845, 0.000312722084345296, 0.0002377830387558788, 9.01280582183972e-05, 0.003204828128218651, 0.0003746722068171948, 0.0007355929701589048, 0.020174594596028328, 0.0017971114721149206, 4.7933801397448406e-05, 0.0008465007995255291, 0.00020729521929752082, 0.0010628115851432085, 0.001180468825623393, 2.0749685063492507e-05, 0.22972676157951355, 0.00041947371209971607, 1.3117451089783572e-05, 0.00017552898498252034, 0.0005880182725377381, 0.002271051285788417, 0.0012188564287498593, 0.00014310417464002967, 4.960095975548029e-05, 0.00023387519468087703, 0.00586620531976223, 7.660511982976459e-06, 0.002475328277796507, 0.0190895926207304, 0.0039193048141896725, 1.1137075489386916e-05, 1.697414154477883e-05, 0.0009102298645302653, 4.938196070725098e-05, 0.0010536359623074532, 0.0003557977033779025, 0.00017494407074991614, 0.00010485852544661611, 6.03307198616676e-05, 0.0009125280193984509, 9.985404904000461e-05, 0.0007167693693190813, 4.845842340728268e-05, 0.002070531016215682, 0.0003249116998631507, 0.0004651323251891881, 0.00021506915800273418, 4.087939305463806e-05, 0.0042913490906357765, 0.0005676171858794987, 0.008604846894741058, 0.00020904622215311974, 0.0033595282584428787, 0.0010545949917286634]"
0.2507303,This image shows the country Spain,Spain,"[0.0006720165256410837, 0.00010355835547670722, 0.0033321036025881767, 0.0009454168030060828, 0.005468452349305153, 2.4098011635942385e-05, 9.156772284768522e-05, 0.0001279331190744415, 0.0005696904845535755, 0.163754403591156, 0.0007804320775903761, 0.028291942551732063, 0.00016388381482101977, 1.8698474377742968e-06, 0.0016327985795214772, 0.00012775560026057065, 0.00015514106780756265, 0.0005552806542254984, 0.0034288910683244467, 3.993398422608152e-05, 0.00019496202003210783, 0.00017273565754294395, 0.16471734642982483, 0.00027923021116293967, 0.0007606250001117587, 0.00010645244765328243, 0.0007798963924869895, 0.01797323487699032, 4.574647789468145e-07, 0.0004314898687880486, 9.404901356901973e-05, 0.0004386310465633869, 0.0028274233918637037, 0.06784632056951523, 7.802530308254063e-05, 0.0002527369069866836, 2.1117431970196776e-05, 0.006431440357118845, 4.594506754074246e-05, 0.0002766754478216171, 0.0015804843278601766, 7.528772130172001e-07, 8.365111170860473e-06, 1.9113485905108973e-05, 1.6582376701990142e-05, 0.0008669991511851549, 0.009222193621098995, 7.197960803750902e-05, 0.0002370867587160319, 5.721883280784823e-05, 2.5769009880605154e-05, 0.00022966793039813638, 0.0015073177637532353, 0.002256989013403654, 0.010943775996565819, 1.0938625564449467e-05, 0.0002625823253765702, 0.00011026568245142698, 0.06476262956857681, 0.0009749904274940491, 0.0003299147356301546, 2.1010802811360918e-05, 0.10679222643375397, 0.0029018756467849016, 1.7194961401401088e-05, 0.004259606823325157, 9.167952157440595e-06, 0.001483878237195313, 0.0003086737706325948, 0.001506010303273797, 0.00012967121438123286, 5.793025366074289e-07, 0.0017723353812471032, 4.599282419803785e-06, 0.005410643294453621, 0.0001388698146911338, 0.001905471901409328, 0.0006001805886626244, 2.8280082915443927e-05, 0.012117167003452778, 0.0005921290721744299, 0.02574046142399311, 0.0001027201215038076, 0.00012717139907181263, 0.0010287408949807286, 0.2507303059101105, 0.014779360964894295]"
0.49962512,This image shows the country Reunion,United States,"[0.0017230967059731483, 2.825038791343104e-05, 0.00028466543881222606, 0.009462005458772182, 0.0004065094981342554, 0.0005924665019847453, 0.0003703411784954369, 0.0005425843992270529, 0.0005069815088063478, 0.00694360351189971, 0.020004568621516228, 0.0005074293585494161, 0.4996251165866852, 1.9035896912100725e-06, 0.01804565079510212, 4.82670366181992e-05, 0.0020169762428849936, 0.00032156752422451973, 0.0005330101121217012, 0.14479118585586548, 0.0007264446467161179, 0.00011782810906879604, 0.028175363317131996, 0.07416341453790665, 0.021491140127182007, 0.001954361330717802, 0.0005290710832923651, 0.05370333418250084, 0.000341664970619604, 8.842659735819325e-05, 0.00014094782818574458, 0.0005748074618168175, 0.000992080196738243, 0.0019348518690094352, 0.0005964541924186051, 0.0006383957806974649, 0.01441581454128027, 0.00034147995756939054, 8.265351789304987e-05, 0.0003827758482657373, 0.0018375921063125134, 0.00016911319107748568, 1.1823112799902447e-05, 0.0009129488025791943, 0.00034384720493108034, 0.002937758108600974, 0.0005252051632851362, 4.567463292914908e-06, 0.023985113948583603, 0.0004803337506018579, 0.00015084650658536702, 0.0038505701813846827, 0.0008433754555881023, 0.0010372370015829802, 0.0014074238715693355, 0.0001309580256929621, 0.00041627901373431087, 0.007083619944751263, 0.0018209146801382303, 2.6638384952093475e-05, 0.008570215664803982, 0.0029869989957660437, 0.0015130243264138699, 2.318951919733081e-05, 3.837347321677953e-05, 0.00020372583821881562, 0.0005322268698364496, 0.009263237938284874, 0.0007100051152519882, 5.490202602231875e-05, 0.0008585116011090577, 3.960596222896129e-05, 0.0012025643372908235, 0.003053613705560565, 0.0019281174754723907, 0.00032590024056844413, 0.0007374749984592199, 0.006607308518141508, 4.911304858978838e-05, 0.00013283091539051384, 0.00028157822089269757, 0.001414814731106162, 0.0003433382953517139, 0.0004457928007468581, 0.0006592117133550346, 0.001591262174770236, 0.00030940715805627406]"
0.23675835,This image shows the country Japan,Japan,"[0.004177405033260584, 0.00017603725427761674, 0.008686604909598827, 0.0015809197211638093, 7.069939329085173e-06, 0.0003087187942583114, 7.584550621686503e-05, 0.0013910781126469374, 0.00017831864533945918, 0.0017515883082523942, 0.0010732352966442704, 0.006413817871361971, 0.00023048084403853863, 5.889166914130328e-06, 0.01666024699807167, 0.0001027178586809896, 0.004735056310892105, 0.0008348231203854084, 2.88073715637438e-05, 0.00011495257058413699, 0.005129522643983364, 0.0004198667302262038, 0.059628166258335114, 0.0003630048595368862, 0.005337635055184364, 0.13411349058151245, 0.01573832333087921, 0.008696137927472591, 0.0006971670081838965, 0.0009531289106234908, 0.09816014021635056, 0.004673922900110483, 0.0006350684561766684, 0.041386496275663376, 0.000526002433616668, 0.0010837591253221035, 0.0018667873227968812, 0.0018111268291249871, 0.012290284037590027, 0.0038927302230149508, 0.011208182200789452, 0.0031528319232165813, 0.0010020610643550754, 0.0034288286697119474, 0.00022137748601380736, 0.005976374261081219, 0.00573774054646492, 0.0015497950371354818, 0.23675835132598877, 0.0014757392928004265, 8.98621237865882e-06, 0.00019454168796073645, 0.004042475018650293, 0.005299543030560017, 0.0034275667276233435, 0.001014784211292863, 0.0002795891196001321, 0.0024176458828151226, 0.0022206436842679977, 1.9606066416599788e-05, 0.0018074758118018508, 0.132780522108078, 0.005452022887766361, 3.202991865691729e-05, 8.457558578811586e-06, 0.0004138401127420366, 0.00046622660011053085, 0.0007534177275374532, 0.0029908427968621254, 0.00013024093641433865, 0.0003291306202299893, 0.00012541929027065635, 0.0040957010351121426, 0.00032834874582476914, 0.0005275125149637461, 0.0010192360496148467, 0.024332605302333832, 0.00040963312494568527, 0.049182284623384476, 0.00045241008047014475, 0.001919843372888863, 0.019285202026367188, 0.0024254517629742622, 0.003702211193740368, 0.0007155972998589277, 0.001733117736876011, 0.009208140894770622]"
0.32260478,This image shows the country Cambodia,Thailand,"[0.018720917403697968, 0.0018884515156969428, 0.00023648736532777548, 0.00024232880969066173, 0.00015794312639627606, 5.8848512708209455e-05, 0.00017112416389863938, 6.258041139517445e-06, 0.01729441247880459, 0.0006669520516879857, 0.018160412088036537, 0.00017839907377492636, 0.008089263923466206, 0.015804363414645195, 2.322757245565299e-05, 0.047419220209121704, 0.0009247798006981611, 0.015555156394839287, 0.00023481401149183512, 0.001582912402227521, 4.961849845130928e-05, 0.0009294853662140667, 0.0005137866246514022, 7.502888183807954e-05, 4.007383176940493e-05, 0.015177760273218155, 0.02532171830534935, 0.000618108781054616, 0.016550861299037933, 0.00016996874182950705, 0.131222665309906, 0.005079929251223803, 0.011233744211494923, 0.0007930303108878434, 0.00014658481813967228, 0.000512023747432977, 0.00027410523034632206, 0.0008148569613695145, 0.0034761379938572645, 0.002843056572601199, 0.034824173897504807, 0.0004301880544517189, 0.322604775428772, 0.003831329522654414, 0.0003675125481095165, 5.204915578360669e-05, 0.0005953507497906685, 0.0019889341201633215, 0.003584444522857666, 0.00258267461322248, 8.528668695362285e-05, 9.321640391135588e-05, 0.006265509407967329, 0.014157729223370552, 8.280739712063223e-05, 0.004545401316136122, 0.0002775162283796817, 0.024095788598060608, 0.00047584972344338894, 2.2070254999562167e-05, 0.00027195867733098567, 0.0018669025739654899, 5.6269967899424955e-05, 0.00019741139840334654, 0.00016060857160482556, 0.006647070404142141, 0.03524784371256828, 3.5954373743152246e-05, 0.0032238669227808714, 0.01661272533237934, 0.00047927830019034445, 0.002072855830192566, 0.00019529207202140242, 0.001213948125950992, 0.0005024192505516112, 7.038728654151782e-06, 0.00018422117864247411, 0.00026257926947437227, 0.1222490668296814, 0.0002923818537965417, 0.020927438512444496, 0.0005903099663555622, 6.334765930660069e-05, 1.969731238204986e-05, 0.0017168461345136166, 0.0003751916519831866, 0.00030610745307058096]"
0.2183533,This image shows the country Spain,Singapore,"[0.006071746814996004, 9.205925380229019e-06, 0.0027198176831007004, 0.006313015706837177, 0.011847611516714096, 0.0006270447047427297, 0.0007780586020089686, 0.0014098337851464748, 0.013711395673453808, 0.13964538276195526, 0.008059883490204811, 0.0017425867263227701, 0.01267168391495943, 0.00030049975612200797, 0.0009848873596638441, 0.016138417646288872, 0.0017883500549942255, 0.0037134469021111727, 0.0005006602732464671, 0.0017261720495298505, 0.002235247753560543, 0.0005964797455817461, 0.09195906668901443, 0.003844786435365677, 0.0008893016492947936, 0.0009780321270227432, 0.0007236606907099485, 0.07813907414674759, 0.034261610358953476, 0.0007313661044463515, 0.0019523976370692253, 0.0005198075668886304, 0.020279517397284508, 0.0025309070479124784, 0.003874387126415968, 0.0013114253524690866, 0.00020396453328430653, 0.011930721811950207, 0.0006163115031085908, 0.00041988809243775904, 0.07420656085014343, 0.00262089679017663, 0.00025591766461730003, 0.012841072864830494, 0.0004166554717812687, 0.0007013237336650491, 0.002544978866353631, 0.00016640401736367494, 0.0006746095605194569, 8.091235213214532e-05, 0.0011033581104129553, 0.0024682970251888037, 0.005710856057703495, 0.006524515803903341, 0.011042787693440914, 0.0004883969086222351, 0.00010869500692933798, 0.005548088811337948, 0.006578862201422453, 0.00040411140071228147, 0.013549533672630787, 0.0009215580066666007, 0.024188125506043434, 0.005504997447133064, 0.0009869784116744995, 0.00775495870038867, 0.002640938851982355, 0.007851042784750462, 0.02839796617627144, 0.00029439598438329995, 0.0005894507048651576, 0.00027638382744044065, 0.00280969962477684, 0.0007855382864363492, 0.002078007208183408, 1.4683821973449085e-05, 0.001209333655424416, 0.012899274937808514, 0.0004974230541847646, 0.031387194991111755, 0.0014488383894786239, 0.006258131470531225, 0.0009386001620441675, 0.0012312278850004077, 0.0004726181214209646, 0.2183533012866974, 0.003414865816012025]"
0.21121019,This image shows the country Argentina,Germany,"[0.004867640323936939, 0.0013456239830702543, 0.00790406484156847, 0.006286207586526871, 0.0001425001973984763, 0.0035130511969327927, 0.00251543871127069, 0.00033835225622169673, 0.0012547787046059966, 0.014660988934338093, 0.013141374103724957, 0.001720390166155994, 0.0010954085737466812, 0.00017156050307676196, 0.0007630210602656007, 0.0009930168744176626, 0.014697892591357231, 0.001132735749706626, 0.00014900289534125477, 0.0037387823686003685, 0.00015397633251268417, 0.0009352153865620494, 0.00582152558490634, 0.012136457487940788, 0.003897801274433732, 0.026575032621622086, 0.004248458426445723, 0.036660291254520416, 0.0004661150451283902, 0.0020194740500301123, 0.0006377699901349843, 0.0003544075589161366, 0.10344085097312927, 0.00663228053599596, 0.004224064294248819, 0.004527915269136429, 0.003698093816637993, 0.08525333553552628, 0.00011550587805686519, 0.0005941258277744055, 0.06267569959163666, 0.0006873745005577803, 6.1022616137051955e-05, 0.00028356199618428946, 0.00015241453365888447, 0.0018002834403887391, 0.00028677270165644586, 0.0019314957316964865, 0.029192641377449036, 5.3598345402861014e-05, 0.0005303701618686318, 0.0010306735057383776, 0.0626210942864418, 0.007186595816165209, 0.0005873384652659297, 0.00029125259607098997, 0.000973899441305548, 0.00550562608987093, 0.0001898078335216269, 1.1992208783340175e-05, 0.014576504938304424, 0.01558078546077013, 0.00382695603184402, 0.00018058916612062603, 0.00016278504335787147, 0.2112101912498474, 0.0002337964833714068, 0.032347407191991806, 0.0034948396496474743, 0.003973223268985748, 0.007234110962599516, 0.00024426536401733756, 0.0011969758197665215, 0.0006234513130038977, 0.000402502017095685, 0.00041263693128712475, 0.0017661497695371509, 0.01409764215350151, 5.3812022088095546e-05, 0.0014269663952291012, 0.0011547354515641928, 0.003637914080172777, 0.0021796105429530144, 0.0002012282784562558, 0.00902398768812418, 0.11147671937942505, 0.0004022219218313694]"
0.096046016,This image shows the country Italy,Malaysia,"[0.0011951238848268986, 0.000344838947057724, 0.04902220517396927, 0.007311364635825157, 0.002618189202621579, 0.00522328307852149, 0.012582861818373203, 0.009355909191071987, 0.0025473248679190874, 0.05850115045905113, 0.013703946024179459, 0.006880349479615688, 0.0010827028891071677, 6.719293014612049e-05, 0.011168931610882282, 0.0011154577368870378, 0.0029318411834537983, 0.0016542343655601144, 0.0016160249942913651, 0.0008603673195466399, 0.020781870931386948, 0.002323572291061282, 0.09604601562023163, 0.014400727115571499, 0.015312020666897297, 0.016164729371666908, 0.025476565584540367, 0.04883555695414543, 0.0046008797362446785, 0.003973232116550207, 0.03670865669846535, 0.026929669082164764, 0.0030027993489056826, 0.04320240765810013, 0.0035786060616374016, 0.0055860611610114574, 0.003953977487981319, 0.010627062059938908, 0.0025820904411375523, 0.016616221517324448, 0.01795107312500477, 0.006598694249987602, 0.004615971352905035, 0.006892853882163763, 0.0014021856477484107, 0.006496117915958166, 0.008676765486598015, 0.0032050712034106255, 0.005632912740111351, 0.010752535425126553, 0.0007894722511991858, 0.004233285319060087, 0.0203794464468956, 0.014738548547029495, 0.015196396969258785, 0.0015101672615855932, 5.786120891571045e-05, 0.001699096173979342, 0.0209483802318573, 0.002232682891190052, 0.007517597638070583, 0.01482719648629427, 0.014684392139315605, 0.00648391293361783, 0.00048819862422533333, 0.0049809557385742664, 0.00017229875084012747, 0.014806905761361122, 0.0005733173456974328, 0.002857175888493657, 0.004128192085772753, 0.009578289464116096, 0.013567043468356133, 0.00033256711321882904, 0.012150799855589867, 7.121082308003679e-05, 0.005712567828595638, 0.015560121275484562, 0.007577527780085802, 0.005745590198785067, 0.010829740203917027, 0.02686651237308979, 0.003798284102231264, 0.008572145365178585, 0.006307985633611679, 0.011876732110977173, 0.04543733969330788]"
0.6968033,This image shows the country Australia,Australia,"[0.03231639042496681, 1.5768544471939094e-05, 6.555149593623355e-05, 0.013231112621724606, 0.0007057316252030432, 3.8343645428540185e-05, 0.00031762165599502623, 3.859526259475388e-06, 0.6968032717704773, 0.0026692519895732403, 0.00034027767833322287, 7.883429498178884e-05, 0.0322568416595459, 0.00176349061075598, 0.0019178433576598763, 0.000709300977177918, 0.00010547666170168668, 0.0344943106174469, 0.00034981188946403563, 0.000773515785112977, 1.6283416698570363e-05, 0.0008169877110049129, 0.000448649370810017, 0.00027526108897291124, 0.00014036279753781855, 0.0003821942664217204, 0.0002309098927071318, 0.0017775828018784523, 0.0008209866937249899, 4.8171787057071924e-05, 0.000326675595715642, 0.0006559736793860793, 0.049969520419836044, 0.00011328713299008086, 9.963403135770932e-05, 0.00026200126740150154, 9.244471584679559e-05, 0.0012597523164004087, 0.0002944565494544804, 0.00019132990564685315, 0.014249328523874283, 0.00015310362505260855, 0.0017779965419322252, 0.0009587383829057217, 0.00028446069336496294, 0.00011135573004139587, 5.527374742086977e-05, 9.6674530141172e-06, 0.0010825889185070992, 0.00019856286235153675, 5.793876698589884e-05, 0.0008581543806940317, 0.0045580086298286915, 0.0011639187578111887, 2.7781779863289557e-05, 0.0034707458689808846, 0.0008479237440042198, 0.04130862280726433, 0.00010131515591638163, 0.00027062062872573733, 0.0004689606430474669, 0.00018616965098772198, 0.00014056105283088982, 0.00017432335880585015, 7.504694076487795e-05, 0.005175264086574316, 0.001114211161620915, 0.00028807527269236743, 0.008882593363523483, 0.0021340148523449898, 0.0003303813573438674, 0.0004120368976145983, 0.02402154915034771, 0.000777530309278518, 0.0004993507754988968, 1.5368145795946475e-06, 3.2618947443552315e-05, 0.0018303190590813756, 0.0011228644289076328, 0.0012170225381851196, 0.00012165647058282048, 0.00020449209841899574, 0.00010421660408610478, 1.4406248737941496e-05, 0.0014603156596422195, 0.000441325712017715, 4.409939356264658e-05]"
