Probabilities,predicted labels,label
0.30741227,Brazil,Brazil
0.46781343,Ireland,United Kingdom
0.3392931,Bolivia,Bolivia
0.908005,Ireland,France
0.11495434,Albania,France
0.11658705,Norway,United Kingdom
0.3701861,Eswatini,South Africa
0.2198138,Germany,Germany
0.14842105,France,Poland
0.3883463,Philippines,Philippines
0.1564237,New Zealand,New Zealand
0.24726607,Canada,United States
0.18110083,United States,United States
0.2694879,Albania,Serbia
0.1333099,Spain,Bulgaria
0.39239904,Sweden,Finland
0.7701494,New Zealand,New Zealand
0.1428615,United Kingdom,France
0.30354372,Jordan,Jordan
0.45968825,Lesotho,South Africa
0.28238204,Laos,Bolivia
0.33078286,France,France
0.36655748,Eswatini,Eswatini
0.11472772,Portugal,Chile
0.24175583,Ireland,Iceland
0.20000248,Philippines,Argentina
0.21566711,Japan,United States
0.20248145,New Zealand,Norway
0.57234406,Malaysia,Singapore
0.13443297,Uruguay,Cambodia
0.9215146,Netherlands,Netherlands
0.46735454,United States,United States
0.4050925,United Kingdom,United Kingdom
0.106476724,Luxembourg,Germany
0.08764676,United Kingdom,France
0.5150218,Ireland,United Kingdom
0.10380571,United Kingdom,North Macedonia
0.3641556,Singapore,Thailand
0.12219305,Latvia,Japan
0.22348855,Uruguay,Brazil
0.9420498,Japan,Japan
0.36830628,Latvia,Russia
0.8840703,Australia,Australia
0.24114989,Canada,Poland
0.1885057,Sweden,Finland
0.20196229,North Macedonia,Italy
0.40144417,Latvia,Sweden
0.17639321,Albania,Mexico
0.57314944,Malaysia,Taiwan
0.28972355,United Kingdom,United Kingdom
0.11197871,Portugal,Taiwan
0.07460101,Italy,Japan
0.2558586,Latvia,France
0.18562192,Dominican Republic,Puerto Rico
0.16616847,Belgium,Germany
0.22736222,Sweden,Finland
0.10455825,Taiwan,Guatemala
0.64114195,Laos,Thailand
0.1130449,Serbia,Bulgaria
0.1739177,Portugal,Spain
0.30783194,Norway,Norway
0.13091363,Poland,Russia
0.27972388,Finland,Sweden
0.6105769,United Kingdom,United Kingdom
0.5782576,Philippines,Philippines
0.1774384,Montenegro,Chile
0.84305304,Canada,Canada
0.19887531,Costa Rica,Japan
0.3146565,Cambodia,India
0.35369074,Puerto Rico,Mexico
0.22116417,Singapore,Singapore
0.22039752,Ireland,France
0.42440662,United States,Canada
0.16534896,Luxembourg,France
0.49338686,Costa Rica,Philippines
0.2303624,Philippines,Japan
0.17987025,United States,United States
0.43089086,Netherlands,Netherlands
0.30920583,Japan,Taiwan
