Probabilities,Predicted labels,label,All-Probs
0.9306984,A google streetview image from This image shows the country Japan,Japan,"[0.0002991887740790844, 2.1327263311832212e-05, 0.0001408020907547325, 0.00021758869115728885, 9.945040073944256e-05, 0.0003516393480822444, 0.00014299293980002403, 0.0026849573478102684, 9.092860273085535e-05, 0.000598704325966537, 8.148363122018054e-05, 0.0006369917537085712, 0.0004031072894576937, 1.2805768392354366e-06, 9.116026194533333e-05, 5.0043345254380256e-05, 9.395466622663662e-05, 5.326954124029726e-05, 4.850540335610276e-06, 9.209244308294728e-05, 0.0026869552675634623, 7.149985322030261e-05, 0.016508014872670174, 0.0002457367954775691, 0.0005110626807436347, 0.01116019207984209, 0.0006006499170325696, 0.0010168561711907387, 0.00046807128819637, 3.54641888407059e-05, 0.0029326947405934334, 9.49072782532312e-05, 4.7275465476559475e-05, 0.0001778483419911936, 8.633251127321273e-05, 0.00027135395794175565, 2.338225931453053e-05, 0.0001723212917568162, 0.0008595366962254047, 0.0006933364784345031, 0.0009629218839108944, 0.001461552339605987, 1.2775182767654769e-05, 0.0015394227812066674, 6.641154413955519e-06, 0.0006129874964244664, 0.00010809331433847547, 1.625881668587681e-05, 0.9306983947753906, 4.6304954594234005e-05, 4.24759946326958e-06, 7.802468462614343e-05, 0.00010234772344119847, 6.554703577421606e-05, 0.00020002548990305513, 6.848534394521266e-05, 2.3809803678886965e-05, 7.567173452116549e-05, 0.0002782927476800978, 2.8917271265527233e-05, 0.00026303037884645164, 0.009365935809910297, 0.0005373817984946072, 1.3937147741671652e-05, 4.877558967564255e-05, 0.00011340015043970197, 5.0206352170789614e-05, 0.00030711153522133827, 3.8375492295017466e-05, 9.631247849029023e-06, 6.802877032896504e-05, 2.5374813048983924e-05, 0.0015710343141108751, 0.00040818273555487394, 0.00012361371773295105, 0.0004047428956255317, 0.0009660381474532187, 0.0003273840411566198, 6.13472584518604e-05, 0.0001399055472575128, 5.066376616014168e-05, 0.0003073688130825758, 0.0006582168280147016, 0.001339084468781948, 0.0003736112848855555, 0.0003156051388941705, 0.0009018456912599504]"
0.25075495,A google streetview image from This image shows the country United Kingdom,United Kingdom,"[0.0007577282958664, 1.465698460378917e-05, 0.0009311670437455177, 0.2507549524307251, 3.207020927220583e-05, 0.007137003820389509, 0.05879673734307289, 0.0013067822437733412, 0.00010719767305999994, 0.0009678063215687871, 3.433092570048757e-05, 0.0004262730071786791, 0.10313834995031357, 1.116449129767716e-05, 0.09001139551401138, 0.0001643021241761744, 0.001783048384822905, 0.0010444719810038805, 1.574084535604925e-06, 0.0003501099708955735, 0.0003808150067925453, 4.5910070184618235e-05, 0.0002181412564823404, 0.050168879330158234, 0.0346938781440258, 0.00024445063900202513, 0.000598231446929276, 0.024355964735150337, 5.977748878649436e-05, 0.0019754699897021055, 0.0004201776464469731, 0.00011161708243889734, 0.0007773531833663583, 0.00026794651057571173, 0.039983320981264114, 0.0186709463596344, 0.00024138117441907525, 0.00032511138124391437, 0.00021083616593386978, 0.00026645883917808533, 0.00020511637558229268, 1.53336350194877e-05, 0.0002127355255652219, 6.510542152682319e-05, 0.00018400019325781614, 0.010385110974311829, 0.0018750306917354465, 1.5280496882041916e-05, 0.0017834088066592813, 3.734534402610734e-05, 1.5724379409221e-05, 0.06376959383487701, 0.0007527412963099778, 5.720328408642672e-05, 7.926166290417314e-05, 0.00029716224526055157, 0.0003636896435637027, 0.002214591484516859, 0.00019259638793300837, 5.38399035576731e-05, 0.022599434480071068, 0.00010720831051003188, 0.00010840957838809118, 1.642907773202751e-05, 9.468893949815538e-06, 0.0002890205360017717, 0.00032729082158766687, 0.07699023187160492, 0.00011867783177876845, 2.5245664801332168e-05, 0.025282854214310646, 0.00017474433116149157, 0.00274423835799098, 0.0009184895898215473, 9.530521492706612e-05, 0.016409967094659805, 0.0018874421948567033, 0.06375086307525635, 0.00036181320319883525, 0.0001526762789580971, 0.000550362397916615, 0.0003776036319322884, 0.010667807422578335, 0.0006193345761857927, 0.0006097373552620411, 0.00038592025521211326, 5.675098145729862e-05]"
0.2707984,A google streetview image from This image shows the country United States,Canada,"[0.005118927452713251, 0.0002797673223540187, 0.0028431846294552088, 0.002991213696077466, 0.0014007561840116978, 0.0021749031729996204, 0.0022945718374103308, 0.002937059151008725, 0.009276645258069038, 0.005653549451380968, 0.017481748014688492, 0.005547807086259127, 0.13333657383918762, 0.0002060912229353562, 0.0014393696328625083, 0.002161141484975815, 0.003911321517080069, 0.0012636615429073572, 0.0002336473553441465, 0.27079838514328003, 0.003940945956856012, 0.0008120046695694327, 0.0038213280495256186, 0.002231951802968979, 0.002612314186990261, 0.004838975146412849, 0.0023848034907132387, 0.003975417464971542, 0.006212644744664431, 0.0038464542012661695, 0.001331298379227519, 0.00681442441418767, 0.02200986258685589, 0.006795512977987528, 0.0010881274938583374, 0.006309805437922478, 0.21704795956611633, 0.009647950530052185, 0.0008040430257096887, 0.011078954674303532, 0.0059417313896119595, 0.004154647700488567, 0.00033072588848881423, 0.0013669095933437347, 0.0007642393466085196, 0.0012866767356172204, 0.002463581273332238, 0.0017967070452868938, 0.03301464021205902, 0.0004903732915408909, 0.0001882414799183607, 0.0015509809600189328, 0.0010659643448889256, 0.00458380114287138, 0.00605353806167841, 0.0007543998654000461, 9.307330765295774e-05, 0.0017153260996565223, 0.003127013798803091, 0.003410825738683343, 0.0013742344453930855, 0.010516769252717495, 0.0056024533696472645, 0.0005301561905071139, 0.0010900822235271335, 0.005860602017492056, 0.0008624674519523978, 0.0008358635823242366, 0.00044113589683547616, 0.0002640410384628922, 0.0023038340732455254, 0.004528013989329338, 0.04852055758237839, 0.0028985645622015, 0.0031671526376158, 0.0007053984445519745, 0.0029537950176745653, 0.004433359485119581, 0.0003179419436492026, 0.011155630461871624, 0.002120505552738905, 0.009559878148138523, 0.0022226099390536547, 0.002504071919247508, 0.002859761705622077, 0.0011691084364429116, 0.008093518204987049]"
0.4914086,A google streetview image from This image shows the country United Kingdom,United Kingdom,"[0.0019877227023243904, 2.347813278902322e-06, 0.00023755815345793962, 0.4914085865020752, 1.1687608321153675e-06, 3.2119049137691036e-05, 0.000250044307904318, 0.00018986372742801905, 0.0002209754311479628, 0.0005300975171849132, 2.8660762836807407e-05, 0.0002502886054571718, 0.4397730231285095, 4.903474746242864e-06, 0.007582821883261204, 1.2062782843713649e-05, 0.00016482689534313977, 0.0018256623297929764, 1.7165538110930356e-06, 0.0002956442185677588, 3.988841490354389e-05, 9.78187017608434e-05, 0.00023081470862962306, 0.00012259435607120395, 0.00022307543258648366, 0.00023252166283782572, 0.00028777893749065697, 0.0016427960945293307, 5.4325842938851565e-05, 0.00038772259722463787, 0.0005564399180002511, 0.0002375422918703407, 0.0006053811521269381, 0.00037191316368989646, 0.0004876580787822604, 0.0007060270290821791, 0.00014249811647459865, 0.0004238754336256534, 0.00022907747188583016, 0.003289594314992428, 0.0004770807281602174, 3.145086520817131e-05, 9.14159681997262e-05, 0.00028993035084567964, 0.00014204115723259747, 0.00011547291796887293, 0.00011014384654117748, 6.906255748617696e-06, 0.004867402371019125, 7.724117313046008e-05, 9.555998076393735e-06, 0.0003006311890203506, 0.0015481315786018968, 4.5017437514616176e-05, 2.8697466404992156e-05, 0.0018888749182224274, 0.00034900972968898714, 0.007016656454652548, 6.987424512772122e-06, 0.0001762488973326981, 0.000757095287553966, 0.00011500913387862965, 5.559886994888075e-05, 4.3229620132478885e-06, 4.586557224683929e-06, 0.0002745324745774269, 0.00022262573475018144, 0.002417230512946844, 0.0001613169879419729, 3.554691647877917e-05, 0.00016874176799319685, 0.000217402252019383, 0.018732937052845955, 0.0008940538973547518, 7.62917916290462e-05, 6.833979568909854e-05, 5.5557953601237386e-05, 0.00028320224373601377, 0.00024855503579601645, 7.886774255894125e-05, 0.0002571807708591223, 0.00029131950577721, 0.0005891823093406856, 5.011264875065535e-05, 0.001036207191646099, 9.674622560851276e-05, 5.9111702285008505e-05]"
0.2371942,A google streetview image from This image shows the country Italy,Spain,"[0.0036008344031870365, 0.001326862839050591, 0.0013332609087228775, 0.004393603187054396, 0.06602291762828827, 0.00445101922377944, 0.0027287371922284365, 0.021842632442712784, 0.0036804787814617157, 0.04441031441092491, 0.005565180443227291, 0.05579690635204315, 0.005080082919448614, 0.00016841391334310174, 0.00017767402459867299, 0.007163791451603174, 0.0013237332459539175, 0.000565847905818373, 0.001357313129119575, 0.004924048203974962, 0.02273385226726532, 0.002809434663504362, 0.23719419538974762, 0.002871087286621332, 0.005788085982203484, 9.101552132051438e-05, 0.0005946526653133333, 0.011570504866540432, 0.004134073853492737, 0.0006192839937284589, 0.0011035003699362278, 0.0010103484382852912, 0.01080332137644291, 0.004610370844602585, 0.001030944287776947, 0.003293080721050501, 0.0031935046426951885, 0.008645468391478062, 0.0007370749372057617, 0.002014913596212864, 0.009058887138962746, 0.012403706088662148, 7.410583202727139e-05, 0.0037176746409386396, 0.00011480253306217492, 0.0029088007286190987, 0.006359927821904421, 0.0009272628230974078, 0.0009769463213160634, 0.0010262690484523773, 0.00010629413009155542, 0.003131742822006345, 0.0035538501106202602, 0.008314710110425949, 0.03594605624675751, 0.00043038243893533945, 0.0008801028016023338, 0.0006031041848473251, 0.035433948040008545, 0.0007422441267408431, 0.0012141746701672673, 0.0023395840544253588, 0.04612308368086815, 0.001446341397240758, 0.005081807728856802, 0.0035630741622298956, 0.00043785845628008246, 0.002781166695058346, 0.002271329751238227, 0.0005737280589528382, 0.0007819991442374885, 0.00010744130122475326, 0.0009395774686709046, 0.0014657480642199516, 0.02395537495613098, 0.00047726763295941055, 0.015994347631931305, 0.024028318002820015, 0.00010606892465148121, 0.01802750490605831, 0.003949857782572508, 0.010526226833462715, 0.002434458350762725, 0.015709780156612396, 0.00980035588145256, 0.08767828345298767, 0.030712060630321503]"
0.35548374,A google streetview image from This image shows the country Finland,Russia,"[7.206856480479473e-06, 4.4008775148540735e-06, 0.00022390812227968127, 0.00027739343931898475, 6.216278052306734e-06, 0.355483740568161, 0.05603773891925812, 0.00011294469004496932, 9.87649127637269e-06, 0.00011098980030510575, 2.586698428785894e-06, 0.00027113305986858904, 0.000580753549002111, 6.142564075162227e-07, 2.2599841031478718e-05, 6.279149147303542e-06, 0.004668856505304575, 5.34141634034313e-07, 2.845860649358656e-07, 0.00044978444930166006, 0.0014669201336801052, 4.7105478984121874e-07, 0.0002637155703268945, 0.0013441408518701792, 0.016237705945968628, 2.068046796921408e-06, 4.3882209865842015e-06, 0.0009651062428019941, 1.5352488844655454e-05, 0.00042324885725975037, 3.205102257197723e-05, 8.406786378145625e-07, 6.782160926377401e-05, 5.185918780625798e-05, 0.004779465962201357, 0.03508291020989418, 0.009745814837515354, 2.033333885265165e-06, 7.726726835244335e-06, 1.0829751317942282e-06, 3.744671994354576e-05, 1.8289327385900833e-07, 3.863560777972452e-06, 6.0793274315074086e-05, 1.2527031003628508e-06, 0.004371394403278828, 0.0006309133023023605, 3.592104121707962e-06, 4.124272891203873e-05, 6.004347596899606e-07, 2.903346683069685e-07, 0.026430247351527214, 6.945323093532352e-06, 2.601412916192203e-06, 4.518298010225408e-05, 4.2538079014775576e-07, 8.160591136174844e-08, 2.000486529141199e-05, 0.0001649984624236822, 1.0099985274791834e-06, 0.0033515687100589275, 5.517789759323932e-06, 1.6130627045640722e-05, 5.139301265444374e-06, 1.275967042602133e-05, 1.9603125110734254e-05, 9.408408914168831e-06, 0.0038216516841202974, 3.2716380360398034e-07, 1.9912378945718956e-07, 0.12914413213729858, 6.248874342418276e-06, 8.38910727907205e-06, 9.111801773542538e-05, 4.6689943701494485e-05, 6.860248686280102e-05, 0.001994290156289935, 0.3241708278656006, 2.8168033168185502e-06, 6.685496828140458e-06, 4.9415598368796054e-06, 0.00022343330783769488, 0.01571832224726677, 0.0005853531183674932, 1.3691497997569968e-06, 4.481888026930392e-05, 4.3914045818382874e-05]"
0.5128514,A google streetview image from This image shows the country Reunion,Australia,"[0.002266664756461978, 6.680513251922093e-06, 0.0002605750923976302, 0.4214402735233307, 0.00016642645641695708, 9.556885925121605e-05, 0.000758091569878161, 5.520498234545812e-05, 0.0016881152987480164, 0.0011121641146019101, 6.021718218107708e-05, 0.0005825941916555166, 0.5128514170646667, 0.00011156606342410669, 0.006247370503842831, 9.560841863276437e-05, 0.00042897049570456147, 0.0016812518006190658, 1.0307271622878034e-05, 0.002345764311030507, 0.0001801298640202731, 2.1247520635370165e-05, 0.0005978199769742787, 0.0018684628885239363, 0.00013395668065641075, 9.542350744595751e-05, 0.00027440133271738887, 0.003587467363104224, 0.0028524533845484257, 0.0007661153213120997, 0.0007258388795889914, 8.075720688793808e-05, 0.0024236913304775953, 0.0006251134327612817, 0.0014812847366556525, 0.0011617249110713601, 7.726186595391482e-05, 0.00010149664740310982, 0.00011200614244444296, 0.00039291108259931207, 0.000426155369495973, 0.00018338680092711002, 0.00024255263269878924, 0.001093379338271916, 0.00033104923204518855, 0.0002499939582776278, 0.0007803975604474545, 3.0782513931626454e-05, 0.0010128937428817153, 3.460304287727922e-05, 2.052725358225871e-05, 0.0020753839053213596, 0.0004051260184496641, 6.156352901598439e-05, 0.000190903534530662, 0.0018259147182106972, 7.216254743980244e-05, 0.005306567065417767, 0.00015871439245529473, 0.00018906417244579643, 0.0013677295064553618, 5.706742376787588e-05, 0.00022450128744821995, 9.062367098522373e-06, 0.0001137860381277278, 0.0003742953122127801, 0.00045290429261513054, 0.0027328580617904663, 0.00036517385160550475, 1.2749187590088695e-05, 0.0005917935632169247, 0.00039058507536537945, 0.001978853717446327, 0.0014089512405917048, 0.0005346348043531179, 7.007878139120294e-06, 0.00011572525545489043, 0.001147336675785482, 0.00019541427900549024, 0.0002380105433985591, 0.00025983364321291447, 0.0005423501715995371, 0.0017249665688723326, 0.00010363617184339091, 0.00010058604675577953, 0.00028628623113036156, 0.00014835713955108076]"
0.34781468,A google streetview image from This image shows the country Israel,Russia,"[0.0041296095587313175, 0.0020784714724868536, 0.017000893130898476, 0.00010634290083544329, 0.0013657128438353539, 0.0009345881408080459, 0.0015565071953460574, 2.8395761546562426e-05, 5.4157890190253966e-06, 0.0008909333264455199, 1.7563187384439516e-06, 0.0470166839659214, 0.00038760865572839975, 0.0018781578401103616, 2.4746164854150265e-05, 0.005637534894049168, 0.06619749963283539, 0.0005149682401679456, 0.0030383288394659758, 5.5645432439632714e-05, 0.0006422503502108157, 0.00012644488015212119, 0.0007442621281370521, 0.000399977492634207, 0.00013134627079125494, 8.605556649854407e-05, 4.132315734750591e-05, 0.00047830515541136265, 6.696251512039453e-05, 0.06315573304891586, 0.0006181646604090929, 1.9000921383849345e-05, 0.0006809948245063424, 0.029140250757336617, 0.06442053616046906, 0.05141032114624977, 1.7442380340071395e-05, 0.00019377686840016395, 0.0005887160077691078, 2.5729766548465705e-06, 0.00016014861466828734, 2.496319211786613e-05, 0.0003754661011043936, 0.000540264998562634, 5.3854866564506665e-05, 0.0017690499080345035, 0.04054684191942215, 0.022829120978713036, 2.133529596903827e-05, 3.565186489140615e-06, 0.005133504047989845, 0.0008444298291578889, 0.00024530524387955666, 0.00018295265908818692, 0.0015875123208388686, 1.0217513590760063e-05, 0.0005379812209866941, 0.0005466752336360514, 0.0007593570044264197, 0.036842066794633865, 0.0039945924654603004, 0.00020947320444975048, 0.0021231232676655054, 0.0023456409107893705, 0.010009780526161194, 0.00029121831175871193, 0.0010356318671256304, 0.009856999851763248, 0.0021429036278277636, 8.298169268528e-05, 0.011584206484258175, 7.21832548151724e-05, 5.411865004134597e-06, 0.0017194133251905441, 0.025555996224284172, 0.0001184823559015058, 0.006661188788712025, 0.0018816395895555615, 0.00015767113654874265, 0.347814679145813, 0.00011422754323575646, 0.024024400860071182, 0.05665726587176323, 0.00022352983069140464, 5.0935301260324195e-05, 0.0007829356472939253, 0.011654661037027836]"
0.6821272,A google streetview image from This image shows the country Canada,Canada,"[0.009675280191004276, 0.014765510335564613, 0.003070798935368657, 0.0004069418355356902, 0.00024973024846985936, 0.004262308590114117, 0.0034202069509774446, 0.0015087747015058994, 0.0008017796790227294, 0.000518717453815043, 0.0006008156924508512, 0.008647608570754528, 0.010004383511841297, 0.001045636017806828, 1.1884538253070787e-05, 0.0002880326646845788, 0.009504444897174835, 0.00014993242803029716, 0.0004988276632502675, 0.10033224523067474, 0.00034227047581225634, 0.0008469061576761305, 0.000711927015800029, 0.00015333463670685887, 0.00986945815384388, 0.00020837347256019711, 0.00043057274888269603, 0.0026113977655768394, 6.982776085351361e-06, 0.0018453835509717464, 0.0007247054600156844, 0.0004675552772823721, 0.0008261223556473851, 0.0017386040417477489, 0.0001244017475983128, 0.006751355715095997, 0.6821271777153015, 0.0039807516150176525, 0.0003613593871705234, 0.00024305818078573793, 0.00032209561322815716, 6.225185188668547e-06, 0.0004788731166627258, 0.0001307314814766869, 0.0002420680975774303, 0.0017046250868588686, 0.0014181522419676185, 0.032269176095724106, 0.001730191521346569, 0.00015638215700164437, 0.00016189806046895683, 0.0015860844869166613, 0.00040852520032785833, 0.008245344273746014, 0.00025855255080386996, 2.1565647330135107e-05, 0.004039384890347719, 0.0008956396486610174, 0.0011945092119276524, 0.00035297300200909376, 0.0007098416099324822, 0.0009106536163017154, 0.0006553740240633488, 0.002562892157584429, 0.0006092327530495822, 0.003358951536938548, 0.0002860982494894415, 0.0003529252135194838, 0.00020288409723434597, 0.0008171178051270545, 0.005010831169784069, 1.9587490896810777e-05, 0.00046290206955745816, 0.001275549060665071, 0.002111896174028516, 0.0012690600706264377, 0.006114285904914141, 0.01748441718518734, 0.0007171782781369984, 0.0007071025320328772, 0.0007494834717363119, 0.003412212012335658, 0.0027932864613831043, 0.0027690441347658634, 0.00038259572465904057, 0.0017858322244137526, 0.0027101770974695683]"
0.9855913,A google streetview image from This image shows the country Hong Kong,Hong Kong,"[3.3442015592299867e-06, 4.593861149260192e-07, 5.313575570653484e-07, 9.033651622303296e-06, 2.8041766242381527e-08, 2.8590627643154676e-09, 3.2412938999470953e-09, 1.508972763986094e-05, 1.192291165352799e-06, 1.1978319491845468e-07, 3.3810432796599343e-05, 5.117479759064736e-06, 0.0001505337277194485, 1.2229633972182796e-10, 1.3722787173264805e-07, 1.810436600635512e-08, 2.106909960275516e-06, 2.6230120511172572e-06, 1.8736054130386037e-07, 5.4588894272455946e-05, 7.649520057384507e-07, 8.613872523710597e-06, 8.000074558367487e-06, 7.661241596679247e-08, 7.16506406206463e-07, 0.0031838295981287956, 8.833417814457789e-05, 2.244480128865689e-06, 0.006724424660205841, 5.716105988540221e-07, 4.4995849748374894e-05, 5.107825472805416e-06, 8.067892736107751e-07, 3.531855554683716e-07, 4.841951977141434e-07, 2.2154745593638836e-08, 3.750761152332416e-06, 1.409175183653133e-06, 7.1235886025533546e-06, 2.18684108403977e-05, 6.700871745124459e-05, 0.9855912923812866, 9.272812917515694e-07, 0.0033665806986391544, 2.301943823113106e-06, 8.512750468980812e-07, 1.2687735306826653e-06, 1.7190414780543506e-07, 5.717308340535965e-06, 2.0848435724474257e-06, 2.6646512552019885e-08, 9.63984092550163e-08, 0.00017675741401035339, 4.4870957935927436e-06, 1.177421654574573e-05, 2.02035266738676e-06, 1.4492487210304716e-08, 7.346393886109581e-06, 8.166014708876901e-07, 2.2961104662044818e-07, 5.095776600683166e-07, 0.00031538374605588615, 4.5718076080447645e-07, 6.468057733854948e-08, 1.6357196273020236e-06, 2.661555527083692e-06, 1.9079670892097056e-06, 1.3935567722000997e-07, 9.683428743301192e-07, 1.9810590856650379e-07, 7.618962349908998e-09, 3.230972424717038e-06, 1.1035349416488316e-06, 1.3225507018432836e-06, 8.52217726787785e-06, 1.026123408465196e-09, 1.5250598153215833e-06, 1.747808511254334e-07, 6.452326033468125e-07, 6.697658250232053e-07, 3.6138962968834676e-06, 1.4236311471904628e-06, 9.867954275932789e-08, 1.583070115884766e-06, 2.0293446141295135e-05, 1.7851940583568648e-06, 5.843353392265271e-06]"
