label,count
United States,12006
Japan,3834
France,3569
United Kingdom,2483
Brazil,2316
Russia,1759
Australia,1702
Canada,1379
South Africa,1181
Spain,1074
Finland,1049
Thailand,943
Mexico,900
Poland,862
Italy,789
Sweden,723
Singapore,707
Germany,696
Argentina,688
Norway,673
Netherlands,578
New Zealand,556
Taiwan,547
Malaysia,423
Austria,347
Romania,346
Israel,326
Chile,326
Ireland,290
Indonesia,288
Peru,269
Turkey,267
Czech Republic,257
Colombia,250
Greece,248
South Korea,243
Portugal,241
Belgium,219
Philippines,219
Bulgaria,217
Denmark,198
Switzerland,173
Hungary,168
India,160
Botswana,144
Lithuania,140
Kenya,130
Croatia,129
Nigeria,123
Cambodia,118
Latvia,117
Bolivia,116
Ukraine,113
Slovakia,108
Ghana,106
Bangladesh,106
Estonia,99
Ecuador,93
Tunisia,87
Jordan,85
Sri Lanka,85
Mongolia,83
Guatemala,79
Senegal,75
Kyrgyz Republic,72
United Arab Emirates,70
Hong Kong,66
Lesotho,65
Slovenia,65
Eswatini,62
Serbia,62
Laos,61
Uruguay,57
Uganda,55
Malta,55
Iceland,53
Palestine,46
Puerto Rico,46
Albania,41
Macedonia,35
Montenegro,31
Reunion,29
Egypt,27
Costa Rica,27
Luxembourg,25
Dominican Republic,22
Bhutan,20
Pakistan,19
American Samoa,16
Vietnam,15
Madagascar,13
China,13
Macau,13
Andorra,13
Jersey,12
Greenland,11
Isle of Man,11
Northern Mariana Islands,10
Aland Islands,9
Faeroe Islands,9
Curacao,9
Guam,8
Lebanon,8
United States Virgin Islands,6
San Marino,4
Bermuda,3
Monaco,2
Myanmar,2
Iraq,2
Martinique,2
Paraguay,2
Mozambique,1
Pitcairn Islands,1
Nepal,1
Antarctica,1
South Georgia and South Sandwich Is.,1
Gibraltar,1
Tanzania,1
Qatar,1
Belarus,1
South Sudan,1
Armenia,1
Svalbard and Jan Mayen Islands,1
Venezuela,1
