label,count
Romania,2
Denmark,2
Switzerland,2
Canada,2
Laos,2
Mexico,2
Belarus,2
Lithuania,2
Israel,2
Argentina,2
Chile,2
Russia,2
United States,2
Poland,2
Georgia,2
Bulgaria,2
Oman,2
Sierra Leone,2
Puerto Rico,2
United Kingdom,2
Ecuador,2
Haiti,2
Ghana,2
Bangladesh,2
Ukraine,2
Mongolia,2
Brazil,2
Syria,2
Rwanda,2
Indonesia,2
Burkina Faso,2
Netherlands,2
Latvia,2
Moldova,2
Cambodia,2
Palestine,2
Australia,2
Germany,2
Belize,2
Madagascar,2
Japan,2
Philippines,2
Bolivia,2
Turkey,2
Belgium,2
Peru,1
Gambia,1
Nepal,1
Costa Rica,1
Ethiopia,1
Eswatini,1
DR Congo,1
Cameroon,1
India,1
Uganda,1
Panama,1
New Zealand,1
Sri Lanka,1
